Simulation,Hill Climb,DQN Normal,Double DQN,Random Selection,No Selection
1,48.88,47.8,54.32,46.760000000000005,33.72
2,49.44,50.6,43.919999999999995,41.6,28.84
3,48.6,52.68000000000001,46.0,43.36,36.4
4,48.88,50.88,48.24,41.839999999999996,31.28
5,48.76,47.4,49.88,46.2,28.16
6,48.64,49.2,49.559999999999995,49.68,34.92
7,51.64,49.72,48.44,43.56,31.04
8,44.64,50.12,44.24,44.12,36.04
9,47.72,49.6,56.2,39.6,36.96
10,48.52,42.559999999999995,43.8,48.88,34.32
11,43.28,43.36,48.8,45.4,27.52
12,45.28,48.36,49.36,43.08,28.64
13,49.36,45.72,51.64,44.12,30.64
14,48.480000000000004,49.480000000000004,49.6,41.24,35.92
15,47.36,45.839999999999996,48.0,41.44,25.319999999999997
16,51.559999999999995,49.36,51.559999999999995,40.52,32.04
17,47.599999999999994,47.08,44.96,43.8,27.0
18,48.32,49.480000000000004,48.0,48.16,36.480000000000004
19,47.599999999999994,45.440000000000005,49.6,40.839999999999996,33.28
20,48.120000000000005,46.92,46.400000000000006,44.12,31.080000000000002
21,50.239999999999995,54.800000000000004,51.239999999999995,41.760000000000005,31.16
22,50.88,48.68,45.36,45.12,32.28
23,45.04,49.68,52.6,41.44,31.0
24,50.519999999999996,47.160000000000004,47.56,45.92,34.839999999999996
25,48.24,46.32,50.4,39.08,26.56
26,45.800000000000004,46.08,45.16,47.599999999999994,36.52
27,46.0,47.96,51.35999999999999,44.440000000000005,34.36
28,51.64,44.48,42.120000000000005,40.64,36.52
29,47.56,50.480000000000004,50.28,40.88,29.12
30,46.760000000000005,52.800000000000004,49.96,40.72,26.279999999999998
31,51.239999999999995,47.96,48.04,35.76,27.52
32,50.0,47.88,53.2,45.76,28.999999999999996
33,48.04,53.0,46.96,44.2,28.24
34,46.72,48.0,52.35999999999999,45.519999999999996,33.4
35,46.04,45.36,49.2,40.88,28.560000000000002
36,47.599999999999994,47.0,54.44,37.68,31.879999999999995
37,47.199999999999996,46.28,48.559999999999995,40.839999999999996,35.96
38,46.2,47.96,50.32,43.2,25.759999999999998
39,45.879999999999995,47.52,47.56,41.839999999999996,28.12
40,47.760000000000005,51.519999999999996,48.72,49.4,35.480000000000004
41,49.559999999999995,46.52,49.68,43.480000000000004,30.240000000000002
42,47.0,52.2,47.760000000000005,38.24,29.959999999999997
43,47.199999999999996,47.12,44.800000000000004,42.44,33.4
44,50.28,50.839999999999996,46.800000000000004,43.88,32.440000000000005
45,50.480000000000004,51.68000000000001,46.68,41.199999999999996,28.68
46,43.44,51.64,46.08,41.52,32.12
47,49.0,44.64,51.12,43.519999999999996,29.439999999999998
48,54.32,43.28,49.36,48.559999999999995,31.480000000000004
49,46.239999999999995,48.64,49.559999999999995,43.919999999999995,31.119999999999997
50,43.919999999999995,52.32,49.96,42.52,35.68
51,50.36000000000001,45.96,48.08,44.24,30.48
52,46.92,46.72,50.4,43.28,26.119999999999997
53,49.36,46.0,50.4,42.64,32.56
54,54.04,48.32,49.36,41.8,34.4
55,46.68,49.68,47.96,48.96,29.28
56,52.12,45.04,48.6,40.6,29.599999999999998
57,48.04,49.08,48.76,44.519999999999996,27.96
58,46.92,52.2,48.92,44.84,28.16
59,50.080000000000005,53.6,43.4,43.84,29.439999999999998
60,48.4,47.52,48.92,44.04,21.04
61,49.16,49.16,44.36,43.120000000000005,31.879999999999995
62,48.6,44.04,53.080000000000005,42.72,29.2
63,49.28,50.32,51.519999999999996,44.519999999999996,31.319999999999997
64,48.08,49.519999999999996,45.2,39.519999999999996,23.44
65,51.080000000000005,49.76,47.48,43.519999999999996,29.880000000000003
66,49.8,47.96,48.16,42.88,32.12
67,43.32,49.24,49.76,46.2,34.92
68,48.32,47.36,52.35999999999999,45.4,29.080000000000002
69,49.44,47.839999999999996,46.6,45.440000000000005,32.92
70,51.28,50.68,45.12,48.199999999999996,27.439999999999998
71,47.44,49.08,49.480000000000004,43.76,32.64
72,50.839999999999996,47.12,46.56,45.24,35.120000000000005
73,44.68,47.72,51.2,40.760000000000005,28.799999999999997
74,46.08,46.239999999999995,48.88,40.32,29.2
75,49.6,46.400000000000006,47.199999999999996,47.24,32.519999999999996
76,46.239999999999995,48.8,47.8,43.16,28.720000000000002
77,50.2,51.04,50.03999999999999,44.800000000000004,30.28
78,45.48,48.4,45.800000000000004,45.0,28.68
79,46.2,48.28,46.239999999999995,47.96,31.64
80,47.08,52.239999999999995,47.8,46.36,28.439999999999998
81,46.64,47.92,47.24,40.56,28.999999999999996
82,51.4,45.92,47.56,40.68,31.72
83,45.24,47.199999999999996,51.68000000000001,38.4,28.560000000000002
84,44.28,46.48,49.04,42.0,26.240000000000002
85,47.88,49.88,50.56,47.24,30.240000000000002
86,46.839999999999996,47.599999999999994,47.44,47.24,30.599999999999998
87,46.72,47.56,47.88,45.0,32.4
88,48.92,47.48,51.160000000000004,40.760000000000005,28.64
89,48.68,48.8,49.480000000000004,43.08,32.92
90,47.68,47.88,49.68,45.24,29.759999999999998
91,49.84,46.160000000000004,44.64,41.28,24.72
92,49.24,47.760000000000005,46.0,45.2,24.72
93,41.8,49.4,51.68000000000001,47.28,32.48
94,50.519999999999996,49.2,45.72,44.76,30.28
95,51.160000000000004,48.44,50.760000000000005,45.36,30.0
96,48.76,45.96,48.68,43.68,28.32
97,50.03999999999999,48.24,47.68,41.24,32.04
98,47.8,50.160000000000004,52.04,44.12,34.12
99,51.519999999999996,49.4,44.080000000000005,42.08,28.560000000000002
100,50.2,54.24,48.08,38.800000000000004,31.72
