Simulation,Hill Climb_Percent,Hill Climb_Value,DQN Normal_Percent,DQN Normal_Value
1,75.0,53021,69.6,49476
2,71.13333333333334,50197,67.0,48562
3,75.46666666666667,55346,72.73333333333333,52513
4,71.39999999999999,51543,70.33333333333334,50804
5,75.26666666666667,54502,73.86666666666667,52719
6,73.8,52723,70.73333333333333,50788
7,74.4,54734,68.8,47609
8,77.2,55902,71.66666666666667,51871
9,71.26666666666667,51928,67.06666666666666,47906
10,76.73333333333333,56158,71.33333333333334,51427
11,77.06666666666668,55660,75.73333333333333,54997
12,73.6,54015,72.33333333333334,52012
13,73.53333333333333,53358,67.80000000000001,48301
14,74.4,53516,68.46666666666667,49006
15,73.6,52649,72.46666666666667,52660
16,76.73333333333333,56277,71.8,51552
17,73.8,53825,72.8,52267
18,73.0,52213,68.86666666666666,49716
19,73.86666666666667,52555,72.0,52257
20,69.66666666666667,50279,71.2,50789
21,74.46666666666667,53801,73.8,52120
22,75.06666666666668,54064,72.86666666666667,51959
23,72.6,52152,76.13333333333333,55058
24,74.8,53804,72.8,51747
25,73.6,53590,71.06666666666666,50714
26,75.6,55080,68.66666666666667,49202
27,75.53333333333333,54450,68.4,49034
28,71.73333333333333,52626,66.66666666666666,48428
29,74.26666666666667,52401,71.0,52033
30,75.8,55776,71.2,51195
31,71.73333333333333,52609,71.73333333333333,51365
32,73.8,53314,69.86666666666666,50538
33,73.66666666666667,52714,73.33333333333333,53271
34,75.26666666666667,54507,65.26666666666667,45694
35,70.46666666666667,50968,72.86666666666667,52847
36,74.2,53897,71.53333333333333,52157
37,73.26666666666667,52859,74.6,53488
38,71.39999999999999,51961,70.33333333333334,50744
39,75.2,54272,68.53333333333333,49430
40,76.26666666666667,55842,69.6,50696
41,73.73333333333333,53082,74.73333333333333,53678
42,72.73333333333333,52357,73.8,53878
43,75.33333333333333,53932,73.73333333333333,53691
44,75.93333333333334,55812,71.06666666666666,50891
45,73.26666666666667,53026,71.26666666666667,51258
46,72.8,52896,71.86666666666667,49998
47,74.06666666666666,53030,73.06666666666666,52146
48,71.73333333333333,50686,67.66666666666666,48103
49,73.93333333333332,53919,72.46666666666667,51866
50,74.26666666666667,54776,69.86666666666666,50662
51,73.2,53222,74.73333333333333,54052
52,74.2,53434,71.73333333333333,52175
53,71.13333333333334,51016,69.53333333333333,50196
54,73.4,53248,72.93333333333332,53000
55,73.73333333333333,53523,69.53333333333333,49706
56,71.53333333333333,51193,72.73333333333333,52503
57,73.46666666666667,53617,75.13333333333333,54595
58,74.93333333333332,54583,69.93333333333334,49498
59,73.8,54283,72.26666666666667,52050
60,74.6,53893,67.60000000000001,48972
61,74.73333333333333,53606,69.86666666666666,50892
62,73.73333333333333,53545,70.73333333333333,51841
63,73.06666666666666,52100,68.60000000000001,49865
64,75.33333333333333,55536,70.26666666666667,50182
65,77.2,56622,71.2,51164
66,72.26666666666667,52130,68.93333333333334,49297
67,72.86666666666667,52713,72.2,52047
68,68.4,49486,65.66666666666666,47633
69,75.4,54559,71.53333333333333,51566
70,73.13333333333333,52670,67.53333333333333,48566
71,73.6,53292,67.06666666666666,49275
72,72.26666666666667,53026,71.13333333333334,50743
73,73.33333333333333,52286,71.73333333333333,51787
74,74.2,53810,71.46666666666667,52366
75,70.93333333333334,51748,71.13333333333334,50219
76,77.4,56185,67.06666666666666,48386
77,72.93333333333332,53736,71.66666666666667,52210
78,75.06666666666668,53741,69.73333333333333,50769
79,73.93333333333332,52738,71.0,50966
80,69.73333333333333,51454,70.33333333333334,49993
81,76.8,54485,71.0,51166
82,72.26666666666667,51717,75.53333333333333,53546
83,72.73333333333333,51735,69.86666666666666,50655
84,78.93333333333334,56871,72.2,51876
85,71.86666666666667,51097,69.73333333333333,50592
86,73.86666666666667,52678,73.33333333333333,52582
87,72.86666666666667,52905,71.73333333333333,51328
88,74.4,52376,72.66666666666667,52201
89,78.33333333333333,56989,72.33333333333334,52186
90,76.93333333333334,55448,68.86666666666666,50122
91,73.53333333333333,53712,70.26666666666667,51137
92,74.13333333333333,53191,68.66666666666667,48406
93,73.46666666666667,53183,72.46666666666667,51930
94,77.0,55871,72.13333333333334,51955
95,73.06666666666666,52891,73.86666666666667,53726
96,72.53333333333333,51063,73.13333333333333,53384
97,72.86666666666667,51728,69.26666666666667,50054
98,74.4,54516,70.0,50102
99,74.26666666666667,53831,72.73333333333333,52328
100,71.06666666666666,51936,66.53333333333333,48097
