Simulation,Hill Climb,DQN Normal,Double DQN,Random Selection,No Selection
1,32.0,31.8,33.96,29.2,16.6
2,33.2,26.68,31.4,28.28,15.72
3,31.879999999999995,27.68,33.12,27.96,13.36
4,28.28,31.119999999999997,31.28,30.240000000000002,17.48
5,31.16,30.680000000000003,32.32,31.0,14.64
6,34.04,31.2,29.759999999999998,23.16,19.08
7,31.480000000000004,31.680000000000003,34.12,31.119999999999997,14.879999999999999
8,29.28,28.52,29.439999999999998,27.200000000000003,14.719999999999999
9,30.84,31.4,31.96,28.84,14.48
10,32.64,33.48,32.519999999999996,27.6,14.92
11,32.800000000000004,31.0,35.8,27.279999999999998,17.64
12,29.48,32.16,32.440000000000005,29.799999999999997,15.68
13,30.320000000000004,30.48,31.759999999999998,25.72,14.6
14,32.28,30.28,35.4,28.04,17.4
15,35.68,32.4,34.04,29.2,12.839999999999998
16,31.879999999999995,31.080000000000002,30.8,28.24,17.36
17,31.16,29.439999999999998,33.28,28.48,13.56
18,32.12,29.64,30.599999999999998,27.400000000000002,13.600000000000001
19,30.080000000000002,29.520000000000003,28.52,28.68,13.639999999999999
20,33.28,32.12,31.0,27.72,14.16
21,32.32,29.68,34.72,25.8,15.6
22,28.92,31.96,30.04,27.439999999999998,16.56
23,31.2,30.0,33.08,26.44,14.760000000000002
24,30.56,33.48,29.720000000000002,30.04,16.16
25,30.959999999999997,34.160000000000004,31.72,28.28,14.44
26,30.4,31.16,33.2,28.68,17.080000000000002
27,33.879999999999995,33.72,30.080000000000002,27.32,13.52
28,32.16,31.759999999999998,33.44,29.799999999999997,16.919999999999998
29,30.84,29.12,30.159999999999997,27.279999999999998,16.68
30,31.0,30.28,28.68,26.08,12.2
31,30.959999999999997,30.56,31.119999999999997,28.439999999999998,14.48
32,29.360000000000003,30.759999999999998,32.2,33.36,15.879999999999999
33,34.72,27.96,33.800000000000004,31.36,17.119999999999997
34,29.759999999999998,31.319999999999997,28.799999999999997,27.24,14.56
35,29.32,30.880000000000003,31.680000000000003,29.2,18.72
36,30.8,32.0,29.959999999999997,28.68,15.52
37,35.6,30.44,30.64,28.64,14.2
38,30.36,30.520000000000003,30.680000000000003,28.4,15.440000000000001
39,32.440000000000005,30.919999999999998,34.28,27.16,18.759999999999998
40,30.44,33.64,31.36,29.880000000000003,15.24
41,33.6,33.76,36.24,29.24,15.840000000000002
42,35.68,28.12,30.2,28.04,14.52
43,30.240000000000002,30.240000000000002,33.0,30.240000000000002,14.16
44,30.0,32.6,30.880000000000003,26.16,16.2
45,33.64,31.080000000000002,30.080000000000002,28.799999999999997,19.64
46,32.4,33.040000000000006,27.04,27.76,16.439999999999998
47,31.840000000000003,31.16,29.24,29.92,15.120000000000001
48,35.36,30.28,31.879999999999995,28.84,16.56
49,31.04,31.080000000000002,33.56,28.32,17.52
50,32.0,31.16,29.84,30.080000000000002,15.52
51,33.44,30.84,28.88,28.599999999999998,16.04
52,28.999999999999996,33.36,31.840000000000003,26.200000000000003,12.959999999999999
53,33.36,32.76,32.04,28.52,15.6
54,27.0,33.2,31.319999999999997,31.319999999999997,14.24
55,31.16,31.8,32.4,29.4,19.0
56,27.839999999999996,28.52,35.44,31.04,19.16
57,35.04,31.6,31.080000000000002,26.68,13.76
58,34.160000000000004,30.64,31.64,28.96,15.68
59,30.159999999999997,33.32,29.68,27.800000000000004,14.96
60,32.24,33.239999999999995,31.72,29.92,12.0
61,28.64,28.76,34.48,27.400000000000002,13.719999999999999
62,31.52,32.12,30.680000000000003,22.68,12.920000000000002
63,32.92,32.440000000000005,30.72,25.72,12.120000000000001
64,30.12,31.64,31.28,30.2,14.16
65,29.12,27.88,32.84,28.76,18.6
66,34.160000000000004,30.84,31.680000000000003,28.12,15.36
67,30.4,33.160000000000004,29.520000000000003,26.919999999999998,16.439999999999998
68,30.320000000000004,29.32,29.759999999999998,28.04,19.84
69,31.119999999999997,32.2,32.24,30.04,14.2
70,29.84,31.080000000000002,31.36,28.92,16.84
71,32.08,26.96,30.959999999999997,28.32,17.36
72,30.159999999999997,32.16,31.64,27.08,14.24
73,33.72,29.28,31.119999999999997,27.72,13.56
74,30.84,34.44,31.72,30.520000000000003,14.760000000000002
75,30.04,31.28,30.759999999999998,29.2,14.6
76,28.439999999999998,30.599999999999998,33.68,24.44,14.399999999999999
77,32.800000000000004,27.839999999999996,31.64,27.68,18.52
78,26.919999999999998,34.12,33.68,30.12,13.0
79,32.879999999999995,33.879999999999995,25.840000000000003,30.080000000000002,14.680000000000001
80,29.439999999999998,28.12,32.24,26.279999999999998,15.28
81,30.44,29.92,35.4,29.64,14.24
82,32.16,29.12,31.319999999999997,30.36,16.12
83,34.08,27.560000000000002,28.92,28.32,16.439999999999998
84,31.480000000000004,31.36,31.840000000000003,31.04,18.4
85,29.160000000000004,29.48,28.76,27.12,15.879999999999999
86,33.6,31.759999999999998,31.119999999999997,28.000000000000004,13.44
87,33.64,32.4,28.360000000000003,27.560000000000002,17.64
88,27.800000000000004,30.04,32.68,27.439999999999998,15.68
89,31.480000000000004,30.599999999999998,29.880000000000003,29.12,13.639999999999999
90,27.6,28.999999999999996,33.64,28.000000000000004,17.0
91,31.240000000000002,28.999999999999996,32.64,27.0,16.76
92,30.520000000000003,30.680000000000003,34.28,27.16,12.72
93,30.72,32.08,30.28,26.72,11.32
94,31.6,32.08,31.240000000000002,27.36,12.479999999999999
95,32.04,29.12,33.72,29.759999999999998,16.12
96,30.959999999999997,30.680000000000003,32.28,30.44,16.48
97,31.52,31.8,29.599999999999998,30.64,16.919999999999998
98,29.2,32.4,32.56,28.64,16.84
99,30.520000000000003,30.880000000000003,30.28,25.679999999999996,15.32
100,29.68,29.439999999999998,31.0,27.800000000000004,19.88
