Simulation,Hill Climb,DQN Normal,Double DQN,Random Selection,No Selection
1,41.37777777777778,44.93333333333333,41.77777777777778,37.2,35.24444444444445
2,41.955555555555556,42.044444444444444,41.51111111111111,41.02222222222222,31.333333333333336
3,47.11111111111111,42.75555555555556,46.400000000000006,38.75555555555555,32.711111111111116
4,44.4,43.77777777777778,44.0,41.91111111111111,33.2
5,46.266666666666666,42.4,41.644444444444446,37.91111111111111,35.199999999999996
6,42.8,43.55555555555555,42.31111111111111,43.86666666666667,28.4
7,42.044444444444444,41.6,42.8,38.31111111111111,33.33333333333333
8,42.355555555555554,46.22222222222222,45.86666666666667,41.55555555555556,32.711111111111116
9,45.28888888888889,43.422222222222224,40.488888888888894,38.75555555555555,31.066666666666663
10,45.28888888888889,44.888888888888886,47.55555555555556,42.13333333333333,30.711111111111112
11,41.37777777777778,40.13333333333333,44.888888888888886,41.46666666666667,31.68888888888889
12,42.08888888888889,44.44444444444444,44.355555555555554,44.888888888888886,31.511111111111113
13,40.53333333333333,46.71111111111111,45.68888888888889,40.75555555555555,32.93333333333333
14,41.955555555555556,45.37777777777778,44.711111111111116,42.044444444444444,28.4
15,45.28888888888889,41.37777777777778,45.2,41.02222222222222,31.822222222222223
16,44.044444444444444,39.68888888888889,46.08888888888889,44.711111111111116,33.06666666666666
17,43.333333333333336,39.55555555555556,41.68888888888888,39.37777777777778,37.15555555555555
18,46.31111111111111,41.199999999999996,42.53333333333333,41.11111111111111,33.86666666666667
19,47.15555555555556,45.422222222222224,43.24444444444445,44.13333333333333,31.333333333333336
20,42.93333333333334,45.37777777777778,44.4,38.53333333333334,36.044444444444444
21,42.84444444444445,41.77777777777778,45.022222222222226,42.0,35.55555555555556
22,43.111111111111114,42.355555555555554,44.666666666666664,41.199999999999996,30.711111111111112
23,43.111111111111114,40.62222222222222,42.888888888888886,40.044444444444444,33.15555555555555
24,41.86666666666667,44.84444444444444,42.8,42.93333333333334,34.97777777777778
25,44.355555555555554,45.46666666666667,42.93333333333334,42.13333333333333,32.666666666666664
26,46.84444444444444,44.577777777777776,44.62222222222223,44.13333333333333,27.955555555555556
27,44.62222222222223,44.711111111111116,44.08888888888889,39.37777777777778,31.511111111111113
28,41.77777777777778,42.71111111111111,44.08888888888889,41.15555555555556,35.51111111111111
29,44.22222222222222,45.2,43.022222222222226,40.75555555555555,32.266666666666666
30,44.0,43.37777777777777,44.977777777777774,39.2,33.28888888888889
31,43.28888888888889,48.4,41.51111111111111,40.93333333333333,32.17777777777778
32,45.46666666666667,41.333333333333336,45.37777777777778,39.6,29.822222222222223
33,43.733333333333334,39.955555555555556,42.71111111111111,41.28888888888889,35.6
34,43.86666666666667,45.644444444444446,45.77777777777778,42.84444444444445,32.17777777777778
35,45.111111111111114,38.711111111111116,44.53333333333334,43.6,29.46666666666667
36,40.44444444444444,47.06666666666667,43.333333333333336,40.22222222222222,32.266666666666666
37,45.15555555555555,41.15555555555556,43.77777777777778,41.733333333333334,36.13333333333333
38,43.28888888888889,44.800000000000004,46.31111111111111,41.6,32.48888888888889
39,40.53333333333333,42.888888888888886,45.51111111111111,40.17777777777778,31.6
40,43.46666666666666,45.55555555555556,42.888888888888886,40.355555555555554,29.599999999999998
41,39.82222222222222,46.88888888888889,39.55555555555556,43.51111111111111,31.2
42,45.644444444444446,41.06666666666667,45.37777777777778,35.644444444444446,28.22222222222222
43,41.06666666666667,44.266666666666666,41.11111111111111,40.31111111111111,30.75555555555556
44,42.08888888888889,49.733333333333334,42.577777777777776,41.955555555555556,33.02222222222222
45,43.644444444444446,46.22222222222222,41.51111111111111,35.288888888888884,34.044444444444444
46,43.51111111111111,43.37777777777777,46.93333333333333,45.06666666666666,27.333333333333332
47,45.68888888888889,43.24444444444445,40.355555555555554,41.06666666666667,33.86666666666667
48,41.77777777777778,43.55555555555555,44.044444444444444,40.88888888888889,31.244444444444447
49,42.53333333333333,45.28888888888889,45.37777777777778,40.93333333333333,34.66666666666667
50,42.53333333333333,43.28888888888889,44.62222222222223,41.02222222222222,33.51111111111111
51,42.4,44.4,45.733333333333334,39.2,34.0
52,41.06666666666667,46.488888888888894,43.15555555555556,40.044444444444444,34.97777777777778
53,43.46666666666666,40.17777777777778,46.88888888888889,41.15555555555556,33.91111111111111
54,42.62222222222222,43.86666666666667,42.13333333333333,42.75555555555556,29.333333333333332
55,43.24444444444445,45.91111111111111,46.31111111111111,41.11111111111111,34.57777777777778
56,43.28888888888889,47.82222222222222,46.13333333333333,41.86666666666667,32.75555555555555
57,41.644444444444446,42.888888888888886,43.77777777777778,40.84444444444444,30.577777777777776
58,38.08888888888889,41.77777777777778,46.13333333333333,41.644444444444446,32.53333333333333
59,47.733333333333334,41.46666666666667,43.28888888888889,39.2,33.644444444444446
60,41.86666666666667,44.53333333333334,43.2,40.75555555555555,31.68888888888889
61,43.77777777777778,44.888888888888886,42.08888888888889,40.044444444444444,36.93333333333334
62,45.55555555555556,38.977777777777774,46.488888888888894,41.28888888888889,32.711111111111116
63,46.08888888888889,45.422222222222224,45.68888888888889,40.84444444444444,27.644444444444442
64,43.55555555555555,43.022222222222226,45.644444444444446,41.68888888888888,33.06666666666666
65,39.2,44.044444444444444,41.199999999999996,44.62222222222223,33.733333333333334
66,42.53333333333333,44.44444444444444,46.355555555555554,44.93333333333333,34.31111111111111
67,42.17777777777778,42.044444444444444,42.08888888888889,39.82222222222222,32.13333333333333
68,45.86666666666667,40.17777777777778,44.711111111111116,39.2,33.955555555555556
69,44.577777777777776,45.955555555555556,43.2,40.0,32.13333333333333
70,43.24444444444445,43.422222222222224,45.955555555555556,39.24444444444444,35.15555555555556
71,45.55555555555556,42.977777777777774,40.488888888888894,40.71111111111111,32.666666666666664
72,43.333333333333336,43.6,40.84444444444444,40.8,32.266666666666666
73,42.31111111111111,46.800000000000004,39.33333333333333,40.84444444444444,37.37777777777778
74,41.46666666666667,44.17777777777778,43.51111111111111,39.68888888888889,31.644444444444442
75,46.13333333333333,43.86666666666667,43.111111111111114,42.31111111111111,33.55555555555556
76,42.31111111111111,45.06666666666666,48.13333333333333,42.31111111111111,34.44444444444444
77,42.75555555555556,42.044444444444444,43.6,40.666666666666664,33.02222222222222
78,40.400000000000006,43.86666666666667,42.31111111111111,41.68888888888888,28.355555555555554
79,43.6,43.644444444444446,42.355555555555554,40.71111111111111,33.24444444444444
80,44.044444444444444,46.13333333333333,40.93333333333333,38.666666666666664,31.066666666666663
81,41.91111111111111,41.733333333333334,44.977777777777774,43.6,26.755555555555553
82,46.488888888888894,44.666666666666664,48.48888888888889,39.955555555555556,30.933333333333334
83,42.48888888888889,45.68888888888889,44.62222222222223,40.71111111111111,30.577777777777776
84,43.37777777777777,41.82222222222222,44.577777777777776,42.66666666666667,31.288888888888888
85,41.06666666666667,41.199999999999996,47.15555555555556,42.577777777777776,34.62222222222222
