Simulation,Hill Climb,DQN Normal,Double DQN,Random Selection,No Selection
1,30.919999999999998,29.520000000000003,27.04,28.48,9.08
2,28.16,28.96,29.720000000000002,27.12,15.72
3,29.080000000000002,29.360000000000003,26.8,23.84,13.08
4,32.28,26.400000000000002,28.000000000000004,25.080000000000002,15.079999999999998
5,29.080000000000002,28.52,26.8,26.72,12.16
6,28.28,30.880000000000003,25.52,24.4,12.76
7,27.96,28.88,29.2,28.24,15.840000000000002
8,24.64,29.439999999999998,28.199999999999996,25.040000000000003,13.239999999999998
9,30.080000000000002,25.480000000000004,28.84,22.759999999999998,11.28
10,28.360000000000003,30.0,31.64,26.16,14.44
11,30.56,27.52,30.919999999999998,23.52,14.719999999999999
12,30.0,27.560000000000002,29.439999999999998,25.64,15.28
13,27.24,30.48,30.12,27.16,14.64
14,27.08,24.92,29.799999999999997,25.36,14.12
15,27.800000000000004,30.04,28.32,25.840000000000003,14.879999999999999
16,30.72,29.84,26.119999999999997,22.759999999999998,14.280000000000001
17,30.12,30.919999999999998,29.28,25.119999999999997,13.8
18,32.440000000000005,26.76,28.360000000000003,27.639999999999997,13.239999999999998
19,27.96,25.480000000000004,29.48,25.64,13.04
20,29.080000000000002,28.52,27.639999999999997,25.240000000000002,14.92
21,33.6,30.2,26.68,23.799999999999997,13.719999999999999
22,30.320000000000004,28.28,29.4,25.28,12.520000000000001
23,26.68,25.52,27.16,27.08,14.04
24,28.439999999999998,26.8,28.76,27.400000000000002,13.44
25,29.56,27.36,27.76,25.759999999999998,14.000000000000002
26,29.520000000000003,32.0,28.84,26.88,15.32
27,28.52,24.84,29.160000000000004,26.240000000000002,12.839999999999998
28,31.44,25.080000000000002,28.04,25.36,17.52
29,27.560000000000002,27.48,30.8,27.12,13.68
30,29.080000000000002,27.639999999999997,28.84,25.64,11.48
31,30.2,27.36,29.880000000000003,21.36,15.920000000000002
32,28.88,31.240000000000002,27.72,26.72,15.920000000000002
33,29.56,26.96,26.08,26.32,16.12
34,25.44,29.48,28.96,24.32,15.64
35,29.720000000000002,28.12,26.68,25.52,13.639999999999999
36,27.32,28.32,32.2,25.480000000000004,12.839999999999998
37,28.48,25.52,28.08,24.240000000000002,14.24
38,27.400000000000002,27.92,26.279999999999998,26.0,13.8
39,28.439999999999998,29.599999999999998,29.720000000000002,26.640000000000004,13.96
40,27.72,28.799999999999997,29.160000000000004,25.6,15.559999999999999
41,27.24,26.479999999999997,27.439999999999998,25.480000000000004,12.959999999999999
42,30.12,28.52,27.839999999999996,23.24,16.36
43,28.32,26.919999999999998,29.880000000000003,27.68,13.36
44,26.56,27.16,27.279999999999998,25.44,14.32
45,30.44,25.8,30.04,24.32,13.600000000000001
46,27.88,27.96,28.12,26.640000000000004,13.4
47,28.08,28.48,29.959999999999997,26.240000000000002,13.08
48,27.200000000000003,27.96,28.76,24.36,13.4
49,25.840000000000003,28.68,29.599999999999998,23.400000000000002,14.360000000000001
50,30.320000000000004,28.96,26.52,26.88,15.840000000000002
51,29.799999999999997,31.119999999999997,27.48,28.199999999999996,12.839999999999998
52,27.08,28.68,28.720000000000002,25.480000000000004,14.760000000000002
53,28.84,26.52,27.6,27.48,14.680000000000001
54,28.560000000000002,27.800000000000004,27.439999999999998,27.24,15.160000000000002
55,29.56,31.64,29.959999999999997,26.479999999999997,12.4
56,28.52,27.92,29.160000000000004,29.68,12.839999999999998
57,30.12,30.72,28.360000000000003,26.640000000000004,13.48
58,28.64,29.4,27.560000000000002,25.64,12.920000000000002
59,27.839999999999996,27.6,27.72,26.400000000000002,12.64
60,26.72,29.4,28.360000000000003,26.6,15.4
61,26.96,28.360000000000003,26.08,27.439999999999998,14.879999999999999
62,26.040000000000003,27.839999999999996,28.48,27.0,12.72
63,28.08,29.720000000000002,27.68,23.880000000000003,14.799999999999999
64,27.24,29.56,24.4,25.240000000000002,10.24
65,33.239999999999995,28.52,28.32,26.6,11.24
66,28.799999999999997,30.080000000000002,26.16,23.56,11.88
67,30.680000000000003,28.4,28.48,27.639999999999997,12.08
68,28.76,29.56,30.64,26.840000000000003,13.719999999999999
69,28.24,29.759999999999998,27.12,25.4,13.52
70,28.76,27.96,28.560000000000002,22.919999999999998,12.839999999999998
71,28.24,30.04,26.44,25.72,13.96
72,32.84,27.6,28.88,27.08,13.320000000000002
73,25.840000000000003,28.439999999999998,29.520000000000003,26.72,13.4
74,27.6,29.799999999999997,29.12,25.319999999999997,16.0
75,27.08,30.759999999999998,25.6,25.64,14.16
76,30.28,31.56,28.999999999999996,26.119999999999997,13.120000000000001
77,28.76,27.800000000000004,28.32,27.24,12.36
78,28.32,32.48,27.96,26.479999999999997,12.76
79,30.8,27.6,27.279999999999998,23.76,12.08
80,32.04,30.48,27.800000000000004,24.04,12.16
81,27.92,27.48,27.800000000000004,28.68,11.88
82,29.880000000000003,27.88,26.240000000000002,27.400000000000002,13.28
83,27.72,27.08,29.520000000000003,24.72,13.16
84,29.28,27.200000000000003,27.839999999999996,23.24,13.56
85,26.36,29.84,28.439999999999998,22.96,15.24
86,30.04,30.0,29.68,26.36,12.479999999999999
87,30.680000000000003,32.0,30.520000000000003,27.279999999999998,14.16
88,29.48,28.799999999999997,25.96,24.52,12.64
89,26.44,28.360000000000003,27.92,27.0,12.72
90,27.560000000000002,30.080000000000002,28.28,27.32,12.64
91,28.28,30.56,23.76,28.52,13.88
92,26.479999999999997,27.0,28.000000000000004,24.32,12.479999999999999
93,28.439999999999998,26.56,27.16,25.16,12.559999999999999
94,31.6,29.880000000000003,29.520000000000003,25.44,15.879999999999999
95,28.199999999999996,28.16,29.759999999999998,23.599999999999998,13.84
96,27.68,24.959999999999997,29.12,26.16,12.479999999999999
97,29.48,25.36,24.240000000000002,25.0,16.76
98,31.96,28.720000000000002,29.92,27.32,13.120000000000001
99,28.439999999999998,27.76,27.639999999999997,24.6,14.399999999999999
100,26.040000000000003,28.76,27.200000000000003,26.479999999999997,11.72
