Simulation,Hill Climb_Percent,Hill Climb_Value,DQN Normal_Percent,DQN Normal_Value,Random Selection_Percent,Random Selection_Value,No Selection_Percent,No Selection_Value
1,74.71111111111111,434554,75.23555555555555,438554,73.6,431451,73.49333333333334,428989
2,74.16,435013,74.8,436197,74.60444444444444,432678,73.24444444444444,427116
3,73.72444444444444,431380,74.94222222222223,441666,74.41777777777779,433923,74.34666666666668,437257
4,74.29333333333334,434366,75.86666666666667,445918,73.96444444444444,433122,75.04888888888888,437267
5,73.38666666666667,429961,73.95555555555555,435341,73.72444444444444,428564,74.60444444444444,435040
6,74.3911111111111,437656,74.96888888888888,439167,73.82222222222222,433979,73.28888888888889,428136
7,74.63111111111111,435630,75.2088888888889,439938,73.03111111111112,425367,73.44888888888889,431605
8,73.93777777777778,435199,74.25777777777778,433303,73.77777777777777,429395,72.55111111111111,427437
9,74.0,435007,75.10222222222222,438895,73.34222222222222,429722,73.96444444444444,434672
10,74.0,429204,73.52,431637,74.14222222222222,434595,73.51111111111112,431456
11,74.91555555555556,438975,74.3911111111111,432442,74.17777777777778,435192,71.93777777777778,422440
12,74.27555555555556,430882,75.26222222222222,443402,74.30222222222223,433083,73.96444444444444,434307
13,74.23111111111112,436634,75.14666666666666,441923,73.24444444444444,427784,73.52888888888889,429884
14,73.58222222222223,430572,74.54222222222222,437594,72.64888888888889,427466,73.92,433813
15,74.57777777777778,438874,73.2,429637,73.64444444444445,433353,73.28,431211
16,74.08888888888889,432216,74.67555555555555,439217,74.67555555555555,436247,73.23555555555555,424802
17,73.43111111111111,429030,74.95111111111112,438313,73.98222222222223,429132,73.75111111111111,430197
18,74.52444444444446,436867,74.7911111111111,438086,74.28444444444445,434790,72.63111111111111,426744
19,75.57333333333334,444922,74.06222222222222,433049,75.10222222222222,438418,72.72888888888889,423555
20,72.95111111111112,426094,75.23555555555555,439546,73.78666666666666,428890,74.16888888888889,435909
21,74.90666666666667,442495,74.56888888888888,437431,74.19555555555556,433874,72.89777777777778,424482
22,74.0,435173,76.32,447737,73.36,429806,74.11555555555556,432473
23,74.91555555555556,437857,74.14222222222222,434543,74.72,435788,74.49777777777777,436901
24,73.2088888888889,432342,74.63111111111111,439630,73.55555555555556,435244,74.16,433612
25,74.08,432703,74.43555555555555,435475,74.50666666666666,436344,74.10666666666667,435871
26,74.54222222222222,436196,75.2,441275,74.85333333333334,439196,73.6,429634
27,73.64444444444445,433659,74.54222222222222,438044,74.51555555555555,436338,73.30666666666666,426536
28,74.0,433374,74.18666666666667,432565,73.75111111111111,433173,73.85777777777778,435011
29,74.77333333333334,435301,75.03111111111112,438460,74.13333333333333,433665,73.89333333333333,433378
30,73.72444444444444,431275,73.80444444444444,435133,73.80444444444444,429926,74.06222222222222,434852
31,73.40444444444445,433622,75.53777777777778,442073,74.49777777777777,436103,73.36,428086
32,74.53333333333333,434792,74.01777777777778,433471,74.07111111111111,431087,74.55111111111111,437486
33,73.16444444444444,428849,75.18222222222222,439449,74.34666666666668,436306,73.69777777777777,432055
34,73.72444444444444,432771,74.13333333333333,438873,74.71111111111111,434946,74.96000000000001,439277
35,73.93777777777778,433643,74.56888888888888,435414,73.80444444444444,431613,74.32,436350
36,73.49333333333334,430841,72.98666666666666,428494,73.58222222222223,429815,73.42222222222222,428867
37,74.94222222222223,438462,73.96444444444444,435347,73.6,429304,72.93333333333332,426518
38,73.60888888888888,429195,74.41777777777779,433310,74.56888888888888,434955,73.44000000000001,428414
39,74.28444444444445,432216,73.76,435633,73.35111111111111,428642,72.96000000000001,426841
40,73.81333333333333,432792,74.8,436924,73.69777777777777,435281,72.7911111111111,424728
41,74.81777777777778,436000,73.37777777777778,429239,73.66222222222221,431150,74.12444444444445,433355
42,72.98666666666666,427639,74.1511111111111,432900,75.97333333333334,442905,72.81777777777778,427093
43,74.66666666666667,437290,73.74222222222222,429342,74.65777777777778,440307,73.05777777777777,425828
44,73.93777777777778,434828,74.54222222222222,432809,73.43111111111111,432443,75.42222222222222,443251
45,75.12,441729,74.07111111111111,434307,74.26666666666667,435444,72.84444444444445,427320
46,74.33777777777777,435120,74.04444444444445,432646,72.93333333333332,424242,73.53777777777778,426354
47,73.51111111111112,428217,74.35555555555555,434842,73.43111111111111,426428,73.32444444444445,428561
48,73.02222222222223,426004,75.66222222222223,443001,73.43111111111111,429553,73.65333333333334,430185
49,75.18222222222222,440493,74.72,439378,74.11555555555556,432686,72.66666666666667,424763
50,72.92444444444445,429531,74.53333333333333,437103,74.32888888888888,433779,73.36888888888889,430157
51,74.4088888888889,436990,74.14222222222222,439197,74.73777777777778,435958,72.94222222222221,428493
52,75.46666666666667,442401,75.17333333333333,439666,73.83999999999999,432267,72.78222222222223,427873
53,74.4088888888889,435175,73.82222222222222,435944,74.28444444444445,437480,74.16888888888889,438329
54,74.38222222222223,434413,74.33777777777777,436346,73.09333333333333,429502,74.00888888888889,431314
55,74.83555555555556,438747,75.52,441723,74.19555555555556,432225,74.22222222222223,433496
56,73.74222222222222,433759,74.45333333333333,436913,73.52888888888889,432284,73.31555555555556,433021
57,73.88444444444444,433311,74.72888888888889,436798,74.45333333333333,435901,72.60444444444445,425581
58,73.61777777777777,431243,74.49777777777777,435669,74.36444444444444,434998,73.69777777777777,432484
59,74.85333333333334,437483,74.82666666666667,438581,75.35111111111111,437607,73.70666666666666,433072
60,73.42222222222222,430711,74.96000000000001,438279,74.08888888888889,430575,72.78222222222223,425582
61,75.28888888888889,444432,74.53333333333333,436867,73.43111111111111,430641,73.79555555555555,431317
62,76.23111111111112,448406,74.20444444444443,433953,71.92,420721,73.80444444444444,430770
63,73.03111111111112,428039,74.00888888888889,435965,72.91555555555556,426477,72.99555555555555,424775
64,73.50222222222223,432929,75.28,442618,73.84888888888888,434010,73.23555555555555,431605
65,73.95555555555555,432156,73.70666666666666,434014,74.58666666666667,436052,72.34666666666666,422256
66,73.83999999999999,433450,74.76444444444445,437237,74.41777777777779,437590,73.44000000000001,429837
67,73.10222222222222,426931,73.37777777777778,428855,75.13777777777779,439468,74.1511111111111,432681
68,74.21333333333334,433490,75.90222222222222,441427,73.05777777777777,426942,73.09333333333333,429900
69,74.34666666666668,435934,74.14222222222222,433253,75.36,442351,74.01777777777778,431441
70,75.19111111111111,438994,75.36,442272,75.34222222222222,443807,73.32444444444445,431634
71,74.61333333333333,434666,74.41777777777779,436336,74.38222222222223,437209,74.09777777777778,433235
72,73.92888888888889,433193,74.46222222222222,436232,75.37777777777778,440255,73.76,432651
73,74.19555555555556,435925,74.81777777777778,439882,73.27111111111111,431847,72.8,427224
74,74.35555555555555,435552,74.53333333333333,440511,74.61333333333333,436464,73.04888888888888,426294
75,74.98666666666666,439894,74.73777777777778,436196,73.6,428157,73.29777777777777,429604
76,75.6088888888889,441862,74.17777777777778,432653,74.74666666666666,437213,74.16,432474
77,74.70222222222222,435359,74.08888888888889,436329,72.63111111111111,421247,73.80444444444444,430744
78,74.34666666666668,435109,75.46666666666667,443771,75.04888888888888,438170,73.80444444444444,432321
79,73.87555555555556,437047,75.00444444444445,438093,74.52444444444446,438209,73.58222222222223,432847
80,75.63555555555556,439686,74.14222222222222,437505,74.36444444444444,435233,73.98222222222223,434023
81,73.99111111111111,431928,74.45333333333333,438002,74.16888888888889,433375,73.80444444444444,433610
82,75.98222222222222,445434,73.94666666666667,433864,73.78666666666666,432264,73.27111111111111,425558
83,73.07555555555555,428042,74.91555555555556,440597,74.08888888888889,433407,73.55555555555556,432793
84,75.35111111111111,443192,74.52444444444446,437466,74.8888888888889,437654,75.09333333333333,437338
85,74.28444444444445,432356,74.67555555555555,435218,75.00444444444445,440807,73.96444444444444,435135
86,74.16,436964,73.88444444444444,430641,74.8,437874,73.11999999999999,426281
87,75.15555555555555,438302,75.21777777777777,439664,74.96000000000001,439459,73.83111111111111,434035
88,74.32888888888888,434560,76.01777777777777,446400,73.41333333333333,429605,72.05333333333334,420669
89,74.75555555555556,439173,74.56888888888888,434320,74.71111111111111,437905,73.31555555555556,428868
90,74.56,437339,75.2088888888889,441229,74.59555555555556,438190,73.03111111111112,429063
91,74.88,437666,73.78666666666666,429663,73.83999999999999,431583,73.2088888888889,426680
92,73.14666666666668,429596,74.82666666666667,437590,73.49333333333334,429138,73.65333333333334,431292
93,74.58666666666667,435545,75.21777777777777,442823,74.25777777777778,435134,72.37333333333333,425429
94,74.35555555555555,433030,76.18666666666667,449760,73.67111111111112,429179,73.27111111111111,427781
95,75.58222222222221,443270,73.83111111111111,432323,73.37777777777778,430211,73.75111111111111,432793
96,74.07111111111111,432123,73.91111111111111,431170,73.82222222222222,434127,72.91555555555556,426330
97,74.49777777777777,435075,73.79555555555555,434875,73.19111111111111,426273,74.14222222222222,434595
98,74.86222222222221,439856,74.44444444444444,435419,73.90222222222222,431883,72.1511111111111,418800
99,73.87555555555556,430904,74.16888888888889,436059,73.72444444444444,432544,73.57333333333334,430787
100,73.52,429297,74.23111111111112,436438,74.57777777777778,436681,74.56,437208
