Simulation,Hill Climb,DQN Normal,Double DQN,Random Selection,No Selection
1,41.64,37.96,41.28,36.720000000000006,22.400000000000002
2,42.92,38.279999999999994,44.080000000000005,37.72,23.04
3,40.160000000000004,43.480000000000004,41.160000000000004,38.32,24.48
4,38.96,39.12,41.959999999999994,32.36,27.08
5,40.96,42.84,47.56,36.36,25.72
6,41.44,41.4,45.36,34.239999999999995,23.96
7,38.4,44.800000000000004,40.8,38.2,29.28
8,41.04,42.76,45.48,40.44,20.68
9,46.6,37.04,42.88,38.0,24.64
10,44.76,44.48,40.32,36.0,25.44
11,39.04,39.2,42.88,35.32,24.2
12,35.24,43.8,41.56,38.080000000000005,23.48
13,44.72,41.8,45.879999999999995,39.72,24.64
14,45.519999999999996,38.56,43.6,39.6,22.040000000000003
15,42.96,40.08,40.36,38.96,24.12
16,39.28,42.64,40.0,32.96,22.6
17,42.16,43.919999999999995,43.56,35.64,24.0
18,40.56,33.44,38.96,37.72,27.400000000000002
19,40.32,40.04,44.2,40.52,21.8
20,44.28,38.68,42.4,35.96,22.52
21,40.239999999999995,41.28,43.76,39.32,21.2
22,40.6,39.64,39.48,39.44,22.759999999999998
23,42.480000000000004,40.44,44.56,35.72,21.68
24,38.68,42.64,44.16,36.84,26.56
25,38.519999999999996,40.04,45.440000000000005,40.04,22.96
26,42.96,42.92,44.36,35.04,19.400000000000002
27,45.519999999999996,42.32,42.72,40.96,20.64
28,46.48,44.879999999999995,39.800000000000004,41.120000000000005,23.68
29,40.8,39.6,36.480000000000004,35.0,26.08
30,42.96,45.76,43.120000000000005,36.120000000000005,22.6
31,41.24,42.16,40.0,40.04,25.119999999999997
32,38.16,40.36,41.64,39.0,21.08
33,39.68,41.56,40.56,39.64,24.08
34,45.24,39.519999999999996,39.160000000000004,40.0,23.0
35,45.12,43.519999999999996,44.84,34.36,19.0
36,43.76,43.36,42.88,37.28,19.56
37,43.32,43.84,44.519999999999996,39.2,22.8
38,38.84,41.48,47.28,37.24,21.8
39,37.519999999999996,40.88,45.440000000000005,36.4,24.52
40,40.44,41.48,44.12,33.68,21.2
41,39.96,43.72,43.4,38.800000000000004,23.04
42,41.32,44.64,41.68,39.800000000000004,21.12
43,44.04,39.92,45.24,38.24,23.599999999999998
44,39.48,41.6,43.16,34.4,24.8
45,39.92,40.96,41.48,39.08,26.96
46,43.6,39.96,44.519999999999996,38.279999999999994,22.8
47,44.04,40.52,43.84,40.36,23.44
48,42.0,45.32,43.56,39.24,19.08
49,40.08,44.16,43.28,39.160000000000004,19.400000000000002
50,41.52,39.96,42.559999999999995,37.4,24.6
51,43.24,42.36,39.64,35.76,19.32
52,41.32,37.519999999999996,39.64,37.6,27.52
53,42.72,43.32,44.96,42.52,23.36
54,43.32,44.16,41.160000000000004,37.0,23.96
55,38.279999999999994,47.24,41.32,36.199999999999996,22.919999999999998
56,42.92,39.64,41.08,36.4,25.16
57,40.52,43.6,43.08,33.879999999999995,26.76
58,41.44,42.88,41.48,34.2,24.36
59,43.519999999999996,41.48,44.0,38.800000000000004,21.92
60,42.480000000000004,43.16,40.8,38.96,21.8
61,44.080000000000005,41.839999999999996,43.36,38.519999999999996,23.32
62,39.56,41.28,44.04,38.12,21.32
63,40.28,43.919999999999995,44.36,37.44,22.52
64,41.8,42.08,43.76,36.28,19.88
65,40.88,38.92,39.92,34.36,20.599999999999998
66,39.68,40.760000000000005,41.68,39.0,20.4
67,43.64,41.24,41.120000000000005,38.36,24.52
68,39.92,46.04,41.4,37.64,21.88
69,37.36,41.56,41.6,38.6,26.279999999999998
70,41.8,40.6,41.88,38.800000000000004,22.8
71,40.04,46.52,45.04,40.0,22.720000000000002
72,41.24,36.559999999999995,39.800000000000004,32.32,19.919999999999998
73,43.36,44.96,42.92,37.68,26.479999999999997
74,43.0,42.64,39.56,39.160000000000004,25.080000000000002
75,42.6,39.800000000000004,43.32,34.839999999999996,21.68
76,48.76,40.239999999999995,41.36,33.6,29.68
77,39.08,44.12,38.68,37.6,21.959999999999997
78,41.72,42.64,44.32,38.68,26.08
79,43.2,40.48,39.28,35.8,26.200000000000003
80,42.8,37.4,44.76,36.04,26.0
81,41.04,40.6,42.199999999999996,38.879999999999995,24.279999999999998
82,39.08,39.56,42.52,38.2,20.8
83,41.6,44.2,39.12,38.96,27.400000000000002
84,40.36,41.72,42.96,39.64,23.56
85,40.52,44.4,42.4,37.12,25.319999999999997
86,42.72,43.96,42.44,35.480000000000004,24.08
87,44.4,44.0,43.2,38.12,22.919999999999998
88,40.2,43.64,43.4,37.08,20.4
89,43.84,44.32,44.12,38.04,23.56
90,45.12,42.559999999999995,45.6,37.68,22.56
91,40.92,42.44,43.16,39.24,24.6
92,41.24,36.44,41.120000000000005,39.72,25.4
93,40.64,46.760000000000005,43.6,34.08,19.759999999999998
94,42.44,42.52,43.96,39.32,22.84
95,42.72,39.160000000000004,42.52,31.919999999999998,20.599999999999998
96,42.24,38.800000000000004,43.16,39.879999999999995,28.84
97,43.16,41.760000000000005,37.96,36.120000000000005,28.08
98,37.56,45.12,44.56,40.08,24.32
99,38.080000000000005,42.72,39.800000000000004,37.96,26.919999999999998
100,38.72,44.2,41.64,39.32,20.64
