Simulation,Hill Climb_Percent,Hill Climb_Value,DQN Normal_Percent,DQN Normal_Value,Random Selection_Percent,Random Selection_Value,No Selection_Percent,No Selection_Value
1,75.6,225233,75.63333333333333,224019,74.35000000000001,219418,76.25,226099
2,76.2,226011,74.66666666666667,221716,76.5,226933,74.06666666666666,219537
3,75.93333333333334,223434,75.53333333333333,224380,74.55000000000001,221489,73.2,218869
4,74.61666666666666,220829,77.35,232048,74.16666666666667,220628,74.48333333333333,220355
5,75.35,223644,74.33333333333333,220012,75.76666666666667,225855,73.98333333333333,221008
6,75.75,223130,76.66666666666667,226205,73.15,218322,73.73333333333333,220231
7,75.36666666666667,222457,74.88333333333334,221210,73.95,218676,73.91666666666666,216960
8,75.0,224052,77.23333333333333,229805,74.7,222461,74.3,223536
9,75.75,223651,76.4,223718,74.9,224111,74.56666666666666,222390
10,74.1,220592,73.98333333333333,219481,75.16666666666667,220975,75.61666666666666,224776
11,74.78333333333333,221603,75.46666666666667,224234,75.51666666666667,224679,73.73333333333333,218129
12,74.93333333333332,221456,74.33333333333333,220548,75.66666666666667,226794,74.3,220596
13,74.86666666666667,224351,75.7,223651,75.3,224291,74.51666666666667,221542
14,76.18333333333334,226358,76.1,225262,75.43333333333334,225297,72.13333333333334,214839
15,74.35000000000001,217754,74.93333333333332,221631,74.45,221672,73.35000000000001,217614
16,74.53333333333333,221202,76.53333333333333,227732,77.66666666666666,230418,72.43333333333334,215439
17,75.16666666666667,223230,75.6,222111,73.93333333333332,221339,73.96666666666667,219965
18,76.51666666666667,228288,74.73333333333333,221958,74.4,222142,72.98333333333333,213634
19,73.53333333333333,219956,77.05,229240,73.21666666666667,216426,74.28333333333333,220989
20,74.4,220674,75.2,222811,76.6,228588,72.41666666666666,216572
21,75.6,224748,75.7,223977,74.91666666666667,221418,74.86666666666667,222646
22,75.71666666666667,225664,76.1,227344,72.75,216367,72.25,214628
23,73.96666666666667,220085,74.28333333333333,221229,75.2,221923,73.73333333333333,216023
24,74.35000000000001,221220,75.28333333333333,224610,75.71666666666667,224266,73.13333333333333,215690
25,74.18333333333334,220267,75.71666666666667,226344,73.9,221536,74.15,217659
26,75.01666666666667,221742,75.14999999999999,223965,75.26666666666667,223436,73.66666666666667,220570
27,74.46666666666667,221136,74.68333333333334,221579,75.44999999999999,225705,72.66666666666667,217958
28,76.35,227558,75.38333333333334,223806,73.41666666666666,219145,74.88333333333334,221534
29,75.43333333333334,224054,74.11666666666666,220733,73.78333333333333,218837,74.53333333333333,221606
30,74.65,221492,74.11666666666666,219892,75.85,223899,73.6,215971
31,75.11666666666666,222925,74.3,219764,73.85000000000001,219359,73.43333333333332,218470
32,74.16666666666667,219196,75.21666666666667,223352,74.0,220512,74.48333333333333,220805
33,74.85000000000001,219598,77.18333333333334,230635,73.36666666666667,217550,72.39999999999999,215915
34,73.81666666666666,220494,74.25,221567,75.26666666666667,224945,72.55,215338
35,74.5,221861,74.51666666666667,221494,75.71666666666667,225865,73.48333333333333,218860
36,74.33333333333333,220088,75.16666666666667,225139,74.63333333333333,220719,74.23333333333333,221181
37,74.76666666666667,224644,76.26666666666667,225543,74.18333333333334,219547,73.33333333333333,219117
38,75.01666666666667,223263,77.43333333333334,230252,75.6,225766,73.41666666666666,216664
39,74.76666666666667,222068,77.3,229023,73.46666666666667,216896,75.13333333333333,223903
40,74.21666666666667,219927,78.28333333333333,231869,73.1,217837,73.28333333333333,218459
41,74.65,224595,74.73333333333333,220212,74.25,219501,75.73333333333333,223494
42,76.33333333333333,226280,74.95,224167,73.93333333333332,219353,74.51666666666667,222260
43,76.23333333333333,226526,76.51666666666667,227321,73.56666666666666,217951,73.71666666666667,219292
44,75.26666666666667,224687,76.0,226648,74.73333333333333,220250,73.0,218388
