Simulation,Hill Climb_Percent,Hill Climb_Value,DQN Normal_Percent,DQN Normal_Value,Random Selection_Percent,Random Selection_Value,No Selection_Percent,No Selection_Value
1,74.01333333333334,272180,73.94666666666667,272097,74.08,271266,72.82666666666667,268439
2,74.90666666666667,277227,74.21333333333334,273962,75.45333333333333,280641,73.61333333333333,274603
3,73.14666666666668,270623,74.08,273034,72.38666666666667,266565,73.52,270622
4,74.22666666666666,273509,74.21333333333334,274685,73.21333333333332,274030,72.89333333333333,268558
5,74.30666666666667,273238,74.37333333333333,273619,73.73333333333333,271403,72.68,266048
6,73.10666666666667,270648,76.10666666666667,282219,75.24,278290,74.10666666666667,272464
7,76.68,285727,74.26666666666667,275620,73.09333333333333,270941,74.85333333333334,275759
8,72.86666666666667,269043,73.73333333333333,271387,74.38666666666667,272814,72.86666666666667,269264
9,73.29333333333334,269137,73.49333333333334,272122,74.22666666666666,275633,72.77333333333334,269454
10,74.82666666666667,277706,74.18666666666667,275381,73.66666666666667,274238,73.6,270219
11,74.64,275830,75.62666666666667,278307,72.0,265076,72.56,269427
12,74.02666666666666,272774,73.83999999999999,273096,74.37333333333333,276029,73.8,272539
13,74.06666666666666,273757,74.17333333333333,273663,74.2,271854,72.89333333333333,270548
14,74.50666666666666,278374,74.94666666666666,274122,75.98666666666666,281313,74.01333333333334,271338
15,72.41333333333333,267346,74.46666666666667,274302,72.42666666666666,266942,72.86666666666667,270247
16,75.06666666666668,275917,74.54666666666667,275660,74.81333333333333,276108,73.17333333333333,269973
17,73.08,268557,74.96000000000001,276031,74.53333333333333,277349,73.48,270182
18,74.32,274098,73.36,271349,74.89333333333333,279665,73.13333333333333,270116
19,74.10666666666667,275484,73.2,270876,72.76,268462,73.74666666666667,273651
20,72.88,270339,74.57333333333334,273271,73.69333333333333,273375,73.09333333333333,268854
21,72.49333333333333,268394,75.77333333333334,278433,72.89333333333333,268003,73.77333333333334,271927
22,75.17333333333333,277275,74.45333333333333,271754,73.57333333333334,272205,74.62666666666667,274616
23,73.85333333333334,273258,73.77333333333334,271048,73.85333333333334,271374,73.97333333333333,275244
24,75.22666666666666,276227,74.14666666666668,271604,74.18666666666667,274176,73.64,271622
25,74.09333333333333,273222,74.64,276222,74.64,278530,74.21333333333334,273232
26,75.46666666666667,276985,74.56,276288,74.0,272753,72.85333333333334,269180
27,74.11999999999999,272947,75.02666666666667,277664,74.13333333333333,272802,72.82666666666667,266337
28,73.74666666666667,272023,73.97333333333333,269049,74.14666666666668,271867,71.52,264889
29,75.0,279142,72.77333333333334,269841,74.46666666666667,275852,73.56,272916
30,73.73333333333333,273347,75.06666666666668,279104,72.58666666666667,269594,74.03999999999999,271648
31,75.03999999999999,276413,74.76,276315,73.32,268635,75.66666666666667,280404
32,75.97333333333334,280978,74.8,275919,73.65333333333334,272907,74.16,274335
33,74.83999999999999,275562,74.42666666666666,277020,73.10666666666667,266147,73.96000000000001,275160
34,73.4,271070,75.49333333333334,276950,74.74666666666666,274761,74.46666666666667,275166
35,73.89333333333333,273477,75.72,279390,73.14666666666668,265387,72.84,269814
36,74.17333333333333,272102,74.70666666666666,276238,72.98666666666666,270596,73.4,272977
37,73.76,272270,74.14666666666668,273510,72.22666666666666,263994,74.10666666666667,271638
38,73.88,271220,75.2,277773,74.28,275625,73.74666666666667,272358
39,73.57333333333334,270223,73.69333333333333,273431,74.26666666666667,275511,73.06666666666666,267691
40,74.53333333333333,276204,73.62666666666667,272876,74.54666666666667,276084,73.69333333333333,270919
41,74.77333333333334,274177,73.78666666666666,274552,72.93333333333332,270723,73.02666666666666,274394
42,72.73333333333333,273054,73.32,271211,72.37333333333333,266138,74.01333333333334,273740
43,74.48,274789,75.14666666666666,279001,73.33333333333333,274323,73.45333333333333,268459
44,73.33333333333333,270215,74.72,276801,73.26666666666667,269918,72.26666666666667,264441
45,72.52,267533,75.22666666666666,280020,73.09333333333333,270362,71.94666666666667,264895
46,74.17333333333333,273979,74.42666666666666,275441,74.65333333333334,274504,73.78666666666666,274207
47,74.38666666666667,273872,73.62666666666667,272633,73.4,271426,72.74666666666667,269127
48,74.54666666666667,275148,73.82666666666667,273852,74.68,275855,73.37333333333333,272713
49,75.78666666666666,279325,73.8,271497,75.06666666666668,275784,72.88,269137
50,75.4,278236,73.56,270588,72.94666666666667,265814,73.97333333333333,273286
51,74.34666666666668,272613,74.85333333333334,274846,74.48,277573,73.41333333333333,273456
52,74.68,276744,73.02666666666666,267370,75.58666666666667,277662,72.84,267564
53,75.68,279267,73.97333333333333,270898,73.14666666666668,268829,73.0,268781
54,74.82666666666667,276627,73.92,272734,73.52,271700,74.11999999999999,272475
55,73.86666666666667,273551,74.36,272380,73.93333333333332,273910,73.30666666666666,270407
56,74.69333333333333,276648,73.82666666666667,273533,73.68,273385,73.61333333333333,272489
57,75.06666666666668,277427,73.34666666666666,273103,73.81333333333333,274243,73.0,271315
58,73.42666666666666,272521,72.88,270960,74.90666666666667,276767,74.34666666666668,274958
59,74.70666666666666,275624,74.45333333333333,275425,72.48,266713,71.49333333333333,268952
60,73.48,273115,74.54666666666667,274375,74.82666666666667,276684,71.56,267651
61,74.50666666666666,278348,74.98666666666666,275200,73.83999999999999,274026,74.24,273145
62,72.89333333333333,270535,74.14666666666668,275191,74.38666666666667,276306,71.94666666666667,266091
63,75.09333333333333,276177,74.38666666666667,274596,74.62666666666667,272946,73.89333333333333,272277
64,74.54666666666667,274970,74.26666666666667,273225,74.11999999999999,272094,72.77333333333334,270048
65,75.6,279014,73.4,271882,73.68,270877,73.93333333333332,272065
66,74.38666666666667,272762,73.42666666666666,270035,74.48,274189,73.44000000000001,271440
67,74.90666666666667,277151,74.58666666666667,276228,72.32,266374,73.34666666666666,271735
68,73.88,273565,74.82666666666667,276194,73.26666666666667,273226,73.45333333333333,272425
69,74.06666666666666,273123,74.01333333333334,271508,71.66666666666667,267097,74.28,273636
70,73.65333333333334,273521,75.01333333333334,276968,73.13333333333333,274719,73.82666666666667,272797
71,73.69333333333333,270047,73.72,272592,75.01333333333334,277326,72.61333333333333,266879
72,73.54666666666667,272741,75.30666666666667,276861,74.05333333333334,269373,73.32,273571
73,73.73333333333333,274992,73.74666666666667,272709,73.50666666666666,272332,74.72,277037
74,73.78666666666666,274827,73.65333333333334,273465,73.42666666666666,271145,73.02666666666666,267924
75,74.46666666666667,276897,72.6,268154,74.66666666666667,275001,74.62666666666667,275537
76,75.50666666666666,278645,74.17333333333333,274066,75.12,277112,72.90666666666667,271235
77,75.21333333333334,280131,74.33333333333333,273702,73.58666666666667,274990,74.58666666666667,276273
78,74.89333333333333,278157,73.41333333333333,268934,74.92,275408,74.25333333333334,272956
79,75.18666666666667,279123,73.33333333333333,272087,74.13333333333333,273916,73.90666666666667,272410
80,74.50666666666666,276200,73.90666666666667,273921,74.54666666666667,275674,73.25333333333333,272295
81,73.02666666666666,269477,74.05333333333334,271931,74.28,275153,72.82666666666667,269674
