timestep,cumulative_active_nodes,percent_activated,reward,algorithm,trial
1,106,52.475247524752476,161.00648123613342,dqn,0
2,241,66.83168316831683,204.9110481667606,dqn,0
3,375,66.33663366336634,210.23898514238857,dqn,0
4,524,73.76237623762376,226.37820202482018,dqn,0
5,677,75.74257425742574,233.13447295315956,dqn,0
6,831,76.23762376237624,233.4962069807606,dqn,0
7,987,77.22772277227723,235.86338285831636,dqn,0
8,1148,79.70297029702971,243.0993301337862,dqn,0
9,1300,75.24752475247524,231.14611477736307,dqn,0
10,1460,79.20792079207921,242.25892146883567,dqn,0
11,1619,78.71287128712872,241.54725987712777,dqn,0
12,1766,72.77227722772277,223.63840982209808,dqn,0
13,1921,76.73267326732673,233.65008317854958,dqn,0
14,2082,79.70297029702971,245.06820695812047,dqn,0
15,2254,85.14851485148515,258.5184341830509,dqn,0
16,2415,79.70297029702971,244.32851397206585,dqn,0
17,2571,77.22772277227723,236.07666360880904,dqn,0
18,2730,78.71287128712872,243.59811629675988,dqn,0
19,2885,76.73267326732673,235.69758135710674,dqn,0
20,3044,78.71287128712872,242.57900437377768,dqn,0
1,105,51.98019801980198,156.8947978508592,cdsqn,0
2,236,64.85148514851485,198.29060158841884,cdsqn,0
3,378,70.29702970297029,214.93114663415116,cdsqn,0
4,526,73.26732673267327,227.22666387191228,cdsqn,0
5,682,77.22772277227723,237.37913449080062,cdsqn,0
6,837,76.73267326732673,237.49421270779112,cdsqn,0
7,992,76.73267326732673,233.77909256281325,cdsqn,0
8,1155,80.6930693069307,246.33094666492488,cdsqn,0
9,1310,76.73267326732673,232.94828546625516,cdsqn,0
10,1460,74.25742574257426,225.01372732204712,cdsqn,0
11,1617,77.72277227722772,238.5980519560176,cdsqn,0
12,1765,73.26732673267327,223.51601225018928,cdsqn,0
13,1920,76.73267326732673,233.5014482142292,cdsqn,0
14,2072,75.24752475247524,230.65127507656948,cdsqn,0
15,2227,76.73267326732673,235.77746580426705,cdsqn,0
16,2377,74.25742574257426,229.87402769227344,cdsqn,0
17,2541,81.1881188118812,251.5237859928172,cdsqn,0
18,2708,82.67326732673267,253.5205342869853,cdsqn,0
19,2876,83.16831683168317,258.46132220688503,cdsqn,0
20,3028,75.24752475247524,231.93788882655585,cdsqn,0
1,101,50.0,150.20555518216702,whittle,0
2,230,63.86138613861386,192.7646418453985,whittle,0
3,374,71.28712871287128,215.17203770637485,whittle,0
4,522,73.26732673267327,223.22747622563324,whittle,0
5,674,75.24752475247524,228.0862941027059,whittle,0
6,815,69.80198019801979,211.72835459337475,whittle,0
7,964,73.76237623762376,226.16146847784037,whittle,0
8,1116,75.24752475247524,228.25897963869522,whittle,0
9,1273,77.72277227722772,238.86161332941913,whittle,0
10,1433,79.20792079207921,242.34278240115833,whittle,0
11,1591,78.21782178217822,240.28112785812928,whittle,0
12,1739,73.26732673267327,224.62841027767115,whittle,0
13,1895,77.22772277227723,235.11166586557985,whittle,0
14,2051,77.22772277227723,233.50484411003987,whittle,0
15,2212,79.70297029702971,243.8886562179443,whittle,0
16,2361,73.76237623762376,225.65772536954032,whittle,0
17,2517,77.22772277227723,238.50320554681443,whittle,0
18,2673,77.22772277227723,235.9624198309378,whittle,0
19,2844,84.65346534653465,260.2364064462527,whittle,0
20,3003,78.71287128712872,240.7051928039664,whittle,0
1,100,49.504950495049506,151.33860590190992,random,0
2,233,65.84158415841584,200.39892829777727,random,0
3,371,68.31683168316832,206.76644994840012,random,0
4,516,71.78217821782178,221.4252316484814,random,0
5,669,75.74257425742574,232.13483900815046,random,0
6,820,74.75247524752476,229.79554483542745,random,0
7,975,76.73267326732673,237.79074920354122,random,0
8,1133,78.21782178217822,237.1331751396703,random,0
9,1293,79.20792079207921,242.90583263090514,random,0
10,1449,77.22772277227723,233.8119626942503,random,0
11,1589,69.3069306930693,210.80960965450046,random,0
12,1742,75.74257425742574,236.10918489570082,random,0
13,1888,72.27722772277228,221.1692256854247,random,0
14,2039,74.75247524752476,229.22310063905132,random,0
15,2179,69.3069306930693,212.80396688604552,random,0
16,2330,74.75247524752476,229.78242024232384,random,0
17,2480,74.25742574257426,227.5734165179773,random,0
18,2632,75.24752475247524,230.61423085300365,random,0
19,2782,74.25742574257426,226.30277455924366,random,0
20,2942,79.20792079207921,242.78681009490333,random,0
1,96,47.524752475247524,147.79412193863695,dqn,1
2,234,68.31683168316832,210.36507521361685,dqn,1
3,383,73.76237623762376,225.9408843650162,dqn,1
4,526,70.79207920792079,216.62872341673807,dqn,1
5,673,72.77227722772277,226.5992716117116,dqn,1
6,810,67.82178217821783,209.70084996995473,dqn,1
7,960,74.25742574257426,228.4194593118839,dqn,1
8,1110,74.25742574257426,232.16888504314133,dqn,1
9,1271,79.70297029702971,247.90381013841917,dqn,1
10,1432,79.70297029702971,246.4403768945907,dqn,1
11,1586,76.23762376237624,235.64855656299696,dqn,1
12,1738,75.24752475247524,231.62019061563447,dqn,1
13,1895,77.72277227722772,240.38394419041003,dqn,1
14,2053,78.21782178217822,238.04060090701535,dqn,1
15,2206,75.74257425742574,233.79365705231027,dqn,1
16,2365,78.71287128712872,241.36847353046912,dqn,1
17,2522,77.72277227722772,238.63338795354713,dqn,1
18,2674,75.24752475247524,232.6359098749458,dqn,1
19,2835,79.70297029702971,247.6105240316462,dqn,1
20,2999,81.1881188118812,251.10278370054726,dqn,1
1,96,47.524752475247524,146.980934358237,cdsqn,1
2,227,64.85148514851485,201.619105815977,cdsqn,1
3,367,69.3069306930693,215.42690634336543,cdsqn,1
4,523,77.22772277227723,240.48861682146716,cdsqn,1
5,679,77.22772277227723,240.72346040048348,cdsqn,1
6,847,83.16831683168317,255.465819579468,cdsqn,1
7,1018,84.65346534653465,259.00836407358594,cdsqn,1
8,1176,78.21782178217822,241.47436112001196,cdsqn,1
9,1328,75.24752475247524,231.6205216370133,cdsqn,1
10,1482,76.23762376237624,236.98992965547586,cdsqn,1
11,1635,75.74257425742574,235.52086676398463,cdsqn,1
12,1795,79.20792079207921,242.21917590410965,cdsqn,1
13,1953,78.21782178217822,239.74993809656058,cdsqn,1
14,2107,76.23762376237624,234.05216582529067,cdsqn,1
15,2266,78.71287128712872,240.28641314986157,cdsqn,1
16,2414,73.26732673267327,224.16721596913428,cdsqn,1
17,2567,75.74257425742574,232.31312225625425,cdsqn,1
18,2721,76.23762376237624,234.55821620387138,cdsqn,1
19,2886,81.68316831683168,250.36919275421567,cdsqn,1
20,3042,77.22772277227723,237.67231510025204,cdsqn,1
1,93,46.03960396039604,140.0607344430464,whittle,1
2,206,55.940594059405946,171.27812346522794,whittle,1
3,345,68.8118811881188,210.91821859851632,whittle,1
4,492,72.77227722772277,219.95410863167777,whittle,1
5,633,69.80198019801979,210.62079765034258,whittle,1
6,785,75.24752475247524,231.06396442249732,whittle,1
7,936,74.75247524752476,230.0046828592963,whittle,1
8,1092,77.22772277227723,234.52141766951746,whittle,1
9,1241,73.76237623762376,225.42026811569127,whittle,1
10,1389,73.26732673267327,226.07458907527894,whittle,1
11,1546,77.72277227722772,240.17889641969757,whittle,1
12,1701,76.73267326732673,237.1432399829067,whittle,1
13,1852,74.75247524752476,228.4942179099438,whittle,1
14,2012,79.20792079207921,241.45974726060166,whittle,1
15,2168,77.22772277227723,234.24028674757304,whittle,1
16,2324,77.22772277227723,237.67846648639852,whittle,1
17,2490,82.17821782178217,251.62894025073672,whittle,1
18,2644,76.23762376237624,234.17904422736456,whittle,1
19,2791,72.77227722772277,222.95550112467342,whittle,1
20,2950,78.71287128712872,238.79465141155967,whittle,1
1,88,43.56435643564357,135.93420833874217,random,1
2,209,59.900990099009896,184.088502566697,random,1
3,340,64.85148514851485,196.61602036982634,random,1
4,485,71.78217821782178,220.6555165696207,random,1
5,629,71.28712871287128,219.30849873112842,random,1
6,773,71.28712871287128,220.4928282055852,random,1
7,915,70.29702970297029,215.95487214118182,random,1
8,1073,78.21782178217822,241.63120188484143,random,1
9,1232,78.71287128712872,241.40557327679204,random,1
10,1390,78.21782178217822,241.09497882746135,random,1
11,1539,73.76237623762376,228.40661567088438,random,1
12,1685,72.27722772277228,222.37457053455142,random,1
13,1838,75.74257425742574,234.38119579847634,random,1
14,1999,79.70297029702971,244.8510080731865,random,1
15,2153,76.23762376237624,234.06905796373803,random,1
16,2308,76.73267326732673,234.75992347854248,random,1
17,2465,77.72277227722772,239.96068262787813,random,1
18,2625,79.20792079207921,242.1939404254598,random,1
19,2790,81.68316831683168,251.20796400499776,random,1
20,2944,76.23762376237624,231.49116320881154,random,1
1,102,50.495049504950494,151.1245716559722,dqn,2
2,232,64.35643564356435,197.28337490659018,dqn,2
3,361,63.86138613861386,193.28265755259866,dqn,2
4,506,71.78217821782178,219.60692557943023,dqn,2
5,667,79.70297029702971,242.61243846064852,dqn,2
6,833,82.17821782178217,252.77237632197526,dqn,2
7,990,77.72277227722772,238.76116629804423,dqn,2
8,1154,81.1881188118812,249.92013868161735,dqn,2
9,1307,75.74257425742574,230.27950816789587,dqn,2
10,1474,82.67326732673267,253.50450201172882,dqn,2
11,1641,82.67326732673267,254.42440739096585,dqn,2
12,1810,83.66336633663366,257.2559789950721,dqn,2
13,1969,78.71287128712872,240.70789818215664,dqn,2
14,2129,79.20792079207921,241.99072031030138,dqn,2
15,2275,72.27722772277228,221.94193705985685,dqn,2
16,2433,78.21782178217822,240.35206572826925,dqn,2
17,2589,77.22772277227723,236.75814912229202,dqn,2
18,2748,78.71287128712872,241.726003447798,dqn,2
19,2900,75.24752475247524,232.97312266650712,dqn,2
20,3058,78.21782178217822,240.83637870149244,dqn,2
1,107,52.97029702970298,159.69053802425248,cdsqn,2
2,240,65.84158415841584,198.23216138208173,cdsqn,2
3,390,74.25742574257426,228.13863868944168,cdsqn,2
4,537,72.77227722772277,225.66810762320168,cdsqn,2
5,680,70.79207920792079,219.65571623524838,cdsqn,2
6,838,78.21782178217822,241.47374102081903,cdsqn,2
7,998,79.20792079207921,244.53536501024914,cdsqn,2
8,1150,75.24752475247524,235.8848085972338,cdsqn,2
9,1311,79.70297029702971,244.01917353117318,cdsqn,2
10,1477,82.17821782178217,251.8611644951507,cdsqn,2
11,1634,77.72277227722772,237.3770219877013,cdsqn,2
