algorithm,timestep,cumulative_active_nodes,percent_activated,reward,trial
cdsqn,1,105.65,52.301980198019805,159.268243003814,9.5
cdsqn,2,239.0,66.01485148514851,200.8664768077596,9.5
cdsqn,3,384.35,71.95544554455446,218.00959599877325,9.5
cdsqn,4,539.05,76.58415841584159,232.5274545344717,9.5
cdsqn,5,696.75,78.06930693069307,237.6135050793097,9.5
cdsqn,6,855.9,78.7871287128713,239.22653122756407,9.5
cdsqn,7,1015.75,79.13366336633663,241.24716213917776,9.5
cdsqn,8,1176.45,79.55445544554456,242.4456745033987,9.5
cdsqn,9,1335.6,78.7871287128713,239.81591289435246,9.5
cdsqn,10,1496.95,79.87623762376238,243.111201674186,9.5
cdsqn,11,1658.9,80.17326732673267,243.89351239309758,9.5
cdsqn,12,1819.75,79.62871287128714,242.11013916082408,9.5
cdsqn,13,1979.7,79.18316831683168,241.59821752380293,9.5
cdsqn,14,2139.75,79.23267326732673,241.54974977272565,9.5
cdsqn,15,2300.6,79.62871287128714,242.39187680917985,9.5
cdsqn,16,2462.05,79.92574257425743,242.98045907553873,9.5
cdsqn,17,2621.0,78.6881188118812,238.99502388236706,9.5
cdsqn,18,2780.45,78.93564356435644,239.975538752747,9.5
cdsqn,19,2940.15,79.05940594059406,240.6289832269365,9.5
cdsqn,20,3101.45,79.85148514851485,243.04422954551796,9.5
dqn,1,105.0,51.98019801980198,158.7284357101781,9.5
dqn,2,241.2,67.42574257425743,204.94878308743165,9.5
dqn,3,391.2,74.25742574257426,226.14110473583665,9.5
dqn,4,544.65,75.96534653465346,230.8366540748636,9.5
dqn,5,702.0,77.8960396039604,236.78775858499935,9.5
dqn,6,862.2,79.3069306930693,241.67463215607503,9.5
dqn,7,1023.3,79.75247524752476,242.66518126046498,9.5
dqn,8,1181.6,78.36633663366337,238.6024664557884,9.5
dqn,9,1344.45,80.61881188118812,245.65186413026194,9.5
dqn,10,1508.0,80.96534653465346,246.4443849935545,9.5
dqn,11,1670.95,80.66831683168317,245.67944731908148,9.5
dqn,12,1831.15,79.3069306930693,241.29574425848105,9.5
dqn,13,1990.2,78.73762376237623,239.64752309306095,9.5
dqn,14,2152.7,80.44554455445544,244.6717339799819,9.5
dqn,15,2314.55,80.12376237623762,243.5597501739118,9.5
dqn,16,2474.2,79.03465346534654,240.84020860795204,9.5
dqn,17,2634.25,79.23267326732673,241.16927543721914,9.5
dqn,18,2794.35,79.25742574257427,240.60418436687564,9.5
dqn,19,2956.7,80.37128712871286,244.48673389628067,9.5
dqn,20,3117.45,79.57920792079207,241.80865750514394,9.5
random,1,107.45,53.193069306930695,162.10212012367188,9.5
random,2,242.85,67.02970297029702,203.23786050748208,9.5
random,3,390.05,72.87128712871286,221.8800290366302,9.5
random,4,541.55,75.0,227.87574707481068,9.5
random,5,694.85,75.89108910891089,230.29420553853106,9.5
random,6,849.7,76.65841584158416,233.10446321250575,9.5
random,7,1002.85,75.81683168316832,230.00930376546359,9.5
random,8,1157.55,76.58415841584159,232.1757283113273,9.5
random,9,1312.7,76.8069306930693,233.7153960170229,9.5
random,10,1469.15,77.45049504950495,235.96005030728026,9.5
random,11,1624.85,77.07920792079207,234.54466312010268,9.5
random,12,1783.25,78.41584158415841,238.99254445087664,9.5
random,13,1939.25,77.22772277227723,235.04692149060497,9.5
random,14,2094.4,76.8069306930693,233.28723663557625,9.5
random,15,2249.75,76.9059405940594,233.87068395222028,9.5
random,16,2406.45,77.57425742574257,235.58429128739968,9.5
random,17,2565.3,78.63861386138613,239.39061609654624,9.5
random,18,2723.75,78.44059405940594,238.8212090900735,9.5
random,19,2881.8,78.24257425742574,237.9998350082421,9.5
random,20,3041.4,79.00990099009901,240.21660874919425,9.5
whittle,1,106.95,52.945544554455445,161.0567204423998,9.5
whittle,2,242.9,67.3019801980198,204.22899115738338,9.5
whittle,3,391.45,73.53960396039604,223.00621919116298,9.5
whittle,4,548.9,77.94554455445544,236.56319167187908,9.5
whittle,5,708.55,79.03465346534654,239.9155388667263,9.5
whittle,6,870.3,80.07425742574257,243.06953740449043,9.5
whittle,7,1033.3,80.6930693069307,245.36233048250529,9.5
whittle,8,1195.95,80.51980198019803,244.78783652616622,9.5
whittle,9,1356.7,79.57920792079207,242.3912555869184,9.5
whittle,10,1516.65,79.18316831683168,241.79260182221796,9.5
whittle,11,1678.2,79.97524752475248,243.81495638976403,9.5
whittle,12,1839.2,79.70297029702971,243.27075671721826,9.5
whittle,13,2001.15,80.17326732673267,244.57477193199966,9.5
whittle,14,2162.0,79.62871287128714,242.14994493787086,9.5
whittle,15,2322.9,79.65346534653466,241.8329804034331,9.5
whittle,16,2482.0,78.76237623762377,239.57710230757547,9.5
whittle,17,2641.95,79.18316831683168,240.78427490635414,9.5
whittle,18,2805.15,80.79207920792079,245.47025764675624,9.5
whittle,19,2966.45,79.85148514851485,243.4884904303861,9.5
whittle,20,3128.0,79.97524752475248,243.08935223467432,9.5
