timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,99.24,49.128712871287114,146.63075929851945,102.08,50.53465346534654,150.63909597290322,100.18,49.5940594059406,148.32549467707634,96.36,47.702970297029694,142.80196298985405,101.04,50.01980198019801,149.77914058292225,97.66,48.34653465346534,144.36575113177292
2,228.66,64.06930693069309,191.28940660260915,234.66,65.63366336633663,196.05065086802827,231.74,65.12871287128712,194.71265199026436,221.3,61.851485148514854,184.8453601444809,229.08,63.38613861386138,189.43148737133887,227.16,64.10891089108911,191.83909224091366
3,372.28,71.09900990099008,212.67068473150852,379.92,71.91089108910892,214.7242559491281,376.0,71.4158415841584,214.0731106447964,358.12,67.73267326732675,202.3514963653632,369.68,69.60396039603962,208.07617523442357,370.64,71.02970297029704,212.54986992236059
4,521.88,74.05940594059405,221.39725775999574,530.46,74.52475247524751,222.13109909862942,524.34,73.43564356435643,220.5849422654389,501.18,70.82178217821783,211.97263255581495,515.62,72.24752475247526,215.90969158922945,520.4,74.13861386138615,221.6893906378427
5,675.4,76.0,226.97316161516065,683.38,75.7029702970297,225.8039934840507,675.06,74.61386138613861,223.74927004356738,646.98,72.17821782178218,215.80293190079954,666.44,74.66336633663367,223.42916579898068,673.24,75.66336633663366,226.0507778809634
6,830.66,76.86138613861384,229.42488797496094,838.4,76.74257425742576,229.61329682168386,828.58,75.99999999999999,228.09245109356752,796.18,73.86138613861387,220.81271069850794,817.34,74.7029702970297,223.40632447216973,828.28,76.75247524752476,229.60805081572033
7,985.96,76.88118811881188,229.6759349400146,993.94,77.0,230.00352197830034,983.42,76.65346534653467,229.63369064008953,945.58,73.96039603960395,221.213232343102,970.06,75.60396039603958,225.98923857275716,983.42,76.8019801980198,229.90445799831832
8,1141.48,76.99009900990099,229.8938485831695,1151.06,77.78217821782177,232.37535669162688,1138.04,76.54455445544552,229.58266550898935,1095.5,74.21782178217822,222.2756115778895,1122.48,75.45544554455446,225.35662320542528,1138.84,76.94059405940592,230.12334055326264
9,1297.54,77.25742574257427,230.88214222896684,1309.52,78.44554455445545,234.00243183523708,1293.16,76.79207920792079,230.76455298196,1245.64,74.32673267326734,222.27100661708855,1275.0,75.50495049504951,225.7627989045815,1294.66,77.13861386138613,230.43629193632208
10,1454.02,77.46534653465348,231.60550039075275,1467.8,78.35643564356437,234.1021074609328,1448.58,76.94059405940595,231.0207576508897,1395.94,74.40594059405942,222.77871767019735,1427.46,75.47524752475248,225.73569125172634,1452.14,77.96039603960395,233.21057221252175
11,1612.08,78.24752475247526,234.05129654382034,1625.62,78.12871287128712,233.52520388156762,1604.3,77.08910891089108,231.35527863557084,1545.96,74.26732673267327,221.9281317521376,1580.36,75.69306930693068,226.22378751701868,1609.64,77.97029702970295,233.3499292121034
12,1768.72,77.54455445544552,231.89515986730922,1784.54,78.6732673267327,235.4485192736356,1759.74,76.95049504950494,230.56331726350265,1694.86,73.71287128712872,220.48145507262,1734.62,76.36633663366337,228.39151311463527,1766.3,77.55445544554456,231.84444435919616
13,1924.96,77.34653465346535,230.61234482019321,1941.52,77.7128712871287,232.2592681162519,1913.3,76.01980198019801,228.4859086111258,1843.1,73.38613861386139,219.59615506162518,1887.72,75.7920792079208,226.0490512160946,1922.1,77.12871287128712,231.0397008728422
14,2080.82,77.15841584158417,230.88710885154592,2097.78,77.35643564356437,231.23471403288323,2068.06,76.61386138613858,230.34929339433035,1993.58,74.4950495049505,222.74244237093484,2038.82,74.8019801980198,223.63750421064026,2078.44,77.3960396039604,231.46464463688662
15,2237.2,77.41584158415841,231.69943472662158,2255.74,78.19801980198021,234.42589654585416,2221.58,76.00000000000001,228.3619458666063,2142.56,73.75247524752476,220.54673120277982,2191.04,75.35643564356435,225.13428900035873,2234.72,77.36633663366337,231.92306325038916
16,2392.86,77.05940594059405,230.5219549531943,2411.66,77.1881188118812,230.638167948589,2376.58,76.73267326732673,230.43843748996633,2291.16,73.56435643564357,219.792248614532,2343.1,75.27722772277228,225.03736999061093,2390.88,77.3069306930693,231.5153293059076
17,2549.6,77.59405940594061,231.86396479722964,2569.16,77.97029702970296,233.35611120394185,2532.62,77.24752475247523,231.66760837401765,2441.48,74.41584158415843,222.49458444324205,2496.2,75.7920792079208,226.70782328564283,2547.28,77.42574257425744,231.88756247580875
18,2705.56,77.20792079207921,230.72066883043277,2726.1,77.6930693069307,232.43227305438282,2687.7,76.77227722772274,230.63523914971015,2590.42,73.73267326732673,220.21196013851954,2647.78,75.03960396039602,224.76311256235525,2703.58,77.37623762376235,231.5183613402933
19,2860.72,76.81188118811882,229.13446656895565,2882.44,77.3960396039604,231.19328134008364,2843.26,77.009900990099,230.77459194568343,2740.1,74.0990099009901,221.15450191697718,2799.2,74.96039603960396,224.23378585429433,2860.04,77.45544554455445,231.62636388943002
20,3016.14,76.94059405940592,229.68396418378302,3040.06,78.02970297029702,232.82521617482718,2997.48,76.34653465346533,229.0583438975058,2890.02,74.2178217821782,221.78339044113818,2951.68,75.48514851485147,225.416355727968,3016.56,77.48514851485147,231.77421160774986
21,3172.74,77.52475247524754,231.74352812115606,3197.18,77.78217821782178,232.6584922317218,3151.8,76.3960396039604,229.43360271105664,3039.62,74.05940594059405,221.54624920766958,3103.58,75.19801980198018,224.57166275130103,3172.24,77.06930693069307,230.6520593115139
22,3330.44,78.06930693069307,233.32851315064264,3353.66,77.46534653465348,231.94024012611888,3306.96,76.81188118811882,230.62885257250272,3191.36,75.11881188118811,224.709373393498,3256.28,75.59405940594058,225.91934630175624,3329.18,77.69306930693068,232.64941791929184
