timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,tabular_cumulative_active_nodes_mean,tabular_percent_activated_mean,tabular_reward_mean
1,5.6,56.0,8.892728840116453,5.3,53.0,8.249275211455485,5.7,57.0,8.567503947042422
2,13.4,78.0,11.882992125112716,12.6,73.0,10.732255641265093,12.1,64.0,9.534096055154524
3,21.6,82.0,12.2814210458707,20.4,78.0,11.761859145874379,18.4,63.0,9.589181403000445
4,29.2,76.0,11.570189515489037,28.3,79.0,11.906877583232852,25.5,71.0,10.603695089886994
5,37.7,85.0,12.407740804576013,37.1,88.0,13.084432750777648,33.0,75.0,11.29985120376765
6,45.5,78.0,11.569871265436989,45.1,80.0,11.807749301485387,40.4,74.0,11.234065290134874
7,53.4,79.0,11.653165241160924,53.5,84.0,12.521921212452181,48.1,77.0,11.613953695396223
8,61.6,82.0,12.435217650289923,61.6,81.0,11.945932484616606,55.6,75.0,11.247576282747488
9,70.0,84.0,12.454611288692213,69.9,83.0,12.20010556030067,63.5,79.0,11.894182582399619
10,77.6,76.0,11.363509548002854,78.5,86.0,12.687843556967803,71.3,78.0,11.546472330737247
11,85.1,75.0,11.003322812373986,86.6,81.0,11.998210743278925,78.5,72.0,10.830924372947774
12,92.8,77.0,11.49222373728649,94.3,77.0,11.328018573682243,85.4,69.0,10.130949035691929
13,100.5,77.0,11.748882974991803,102.2,79.0,11.888653171890116,92.9,75.0,11.294388678297217
14,108.9,84.0,12.545207473279506,110.8,86.0,12.869628223670935,99.5,66.0,10.081544845705187
15,117.4,85.0,12.778284909499693,119.4,86.0,12.726996598116797,106.8,73.0,10.944289140361521
16,125.5,81.0,12.212669864882676,127.6,82.0,12.122184678612419,114.4,76.0,11.262672859201428
17,133.7,82.0,12.408643504286928,136.0,84.0,12.43497576261555,122.3,79.0,11.605584588813642
18,141.2,75.0,11.229139911166053,144.4,84.0,12.611419247427424,130.5,82.0,12.006578432769398
19,149.3,81.0,11.99143185256463,152.3,79.0,11.733546749742748,138.1,76.0,11.457740636660798
20,158.2,89.0,13.34033113778699,160.7,84.0,12.628488971262612,145.7,76.0,11.611347299859997
21,166.4,82.0,12.355005378918985,169.3,86.0,12.877488297170316,153.0,73.0,11.078980917519841
22,174.6,82.0,12.195928694468362,177.1,78.0,11.722626558126686,160.5,75.0,11.067647385393146
23,181.7,71.0,10.595521033238771,184.8,77.0,11.669515767859405,168.0,75.0,10.99454231606819
24,188.7,70.0,10.704584352703083,192.9,81.0,12.0508789663591,175.3,73.0,10.827289096684648
25,196.6,79.0,11.857131547106281,200.5,76.0,11.473616076325438,182.9,76.0,11.371576041888394
26,204.9,83.0,12.431827187348762,208.9,84.0,12.4016503856748,190.2,73.0,10.735371884108869
27,212.8,79.0,11.918753142295582,216.6,77.0,11.583012507872496,197.6,74.0,10.998476921309692
28,219.7,69.0,10.69055260240952,224.2,76.0,11.481230444028338,204.9,73.0,11.012013211008448
29,227.0,73.0,11.16303379256251,232.0,78.0,11.875788693059317,211.7,68.0,9.9794102270325
30,234.4,74.0,10.992081519843,239.7,77.0,11.479538668713348,218.6,69.0,10.122843266249875
