timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,tabular_cumulative_active_nodes_mean,tabular_percent_activated_mean,tabular_reward_mean
1,4.3,43.0,6.052957572117668,4.6,46.0,6.322013672890418,4.9,49.0,6.595987432659223
2,11.3,70.0,9.848446472366714,11.0,64.0,8.663897706622262,11.0,61.0,8.051910815882819
3,18.6,73.0,10.039614335584485,18.8,78.0,10.840951416042994,17.1,61.0,8.234647772761763
4,26.1,75.0,10.304511277470313,26.8,80.0,11.189256200792837,24.1,70.0,9.556035315912917
5,33.7,76.0,10.703080300526219,34.0,72.0,9.851023410881641,31.3,72.0,9.890768532292736
6,41.6,79.0,10.946787657761098,41.7,77.0,10.680361794650125,38.7,74.0,10.084961538078133
7,49.0,74.0,10.209821550670991,49.9,82.0,11.450137114317865,46.2,75.0,10.3838851087018
8,57.1,81.0,11.341943390316963,57.8,79.0,10.848964569809151,53.6,74.0,10.122443506685151
9,65.1,80.0,11.060852955277161,65.8,80.0,11.132594861670672,61.1,75.0,10.228508482796409
10,73.6,85.0,11.822144853441456,72.8,70.0,9.6315211285088,68.6,75.0,10.354546178845649
11,82.3,87.0,12.014037908471643,80.1,73.0,9.921444677350014,76.0,74.0,10.207184228768785
12,90.9,86.0,11.979743919817036,87.5,74.0,10.19161295076563,83.4,74.0,10.12818956892797
13,99.7,88.0,12.036402866104527,95.7,82.0,11.328242197188132,90.3,69.0,9.382958536058911
14,108.0,83.0,11.403506079507887,103.8,81.0,11.353049917601187,97.7,74.0,10.074335454681798
15,115.7,77.0,10.496670847287977,112.8,90.0,12.458012638775784,104.6,69.0,9.57271293022271
16,123.5,78.0,10.927542488406703,121.1,83.0,11.292837869796752,112.1,75.0,10.246133363055003
17,132.5,90.0,12.29490186784401,129.4,83.0,11.674466255237315,119.5,74.0,10.02718418285405
18,140.7,82.0,11.027744323376414,137.4,80.0,11.187427125548986,127.4,79.0,10.779770265403924
19,148.8,81.0,11.341515357809401,145.8,84.0,11.547697646273408,135.2,78.0,10.552725012548603
20,157.1,83.0,11.344483378353265,153.3,75.0,10.204753893587338,142.5,73.0,9.893959398865034
21,165.8,87.0,12.115315269026558,161.0,77.0,10.704983640523647,149.1,66.0,9.172569520124952
22,173.8,80.0,11.064057191901348,168.8,78.0,10.627000968794288,155.3,62.0,8.499309485054372
23,182.0,82.0,11.320206033978696,176.8,80.0,11.007672842774873,162.4,71.0,9.689814512724968
24,189.0,70.0,9.798197230737184,184.7,79.0,10.64485731352736,169.3,69.0,9.145649084400073
25,196.9,79.0,10.886238173537143,193.0,83.0,11.552305326372274,176.5,72.0,9.765951523686482
26,204.9,80.0,11.06678626105234,200.8,78.0,10.567107882310651,183.7,72.0,9.842905305253907
27,213.1,82.0,11.492192023048835,208.3,75.0,10.455192524707178,191.4,77.0,10.463875474782707
28,221.3,82.0,11.453067879475217,216.2,79.0,11.08910751663221,198.5,71.0,9.835366064696675
29,229.7,84.0,11.802639421579332,224.3,81.0,11.1695765909875,205.4,69.0,9.297198032475517
30,237.9,82.0,11.242216708286511,232.5,82.0,11.313258685879326,212.5,71.0,9.759036791067077
