timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,graph_cumulative_active_nodes_mean,graph_percent_activated_mean,graph_reward_mean,tabular_cumulative_active_nodes_mean,tabular_percent_activated_mean,tabular_reward_mean
1,4.3,43.0,5.874367425708895,4.3,43.0,6.056659194910215,4.6,46.0,6.110372968541809
2,11.0,67.0,9.140688163790164,12.0,77.0,10.927651896932812,10.5,59.0,8.050964424821487
3,19.0,80.0,11.099801353742105,20.5,85.0,11.96589494363609,18.0,75.0,10.440120499560127
4,26.9,79.0,11.178068114969497,29.1,86.0,11.99475163457255,25.8,78.0,10.771553652378032
5,35.4,85.0,11.941658791368756,38.2,91.0,12.540792481282839,33.7,79.0,10.84656336905246
6,43.3,79.0,11.006569355736604,47.0,88.0,12.168083255544719,41.4,77.0,10.604108570303392
7,50.7,74.0,10.260141857177803,55.7,87.0,11.92391963854961,49.3,79.0,11.024151119030122
8,58.4,77.0,10.716669413049827,64.6,89.0,12.399977983012977,57.0,77.0,10.647776052947304
9,66.0,76.0,10.630761473216808,72.9,83.0,11.674733363705316,65.2,82.0,11.44852803888408
10,73.9,79.0,10.814614936356227,80.8,79.0,10.888438614375065,72.7,75.0,10.470931292113411
11,82.4,85.0,11.72831157893739,89.2,84.0,11.688025260194525,80.2,75.0,10.377957820333902
12,90.8,84.0,11.541098421284413,97.2,80.0,11.202854884728541,88.6,84.0,11.553151434422118
13,99.0,82.0,11.470012328043737,105.9,87.0,12.145368067509676,95.7,71.0,9.819924231195206
14,107.7,87.0,12.032503242891451,115.0,91.0,12.674776059771247,103.8,81.0,11.234793101302667
15,116.3,86.0,11.884998596954262,123.4,84.0,11.623002846942407,112.1,83.0,11.575741422567699
16,124.9,86.0,11.991161390179121,132.0,86.0,11.81137586179225,119.9,78.0,10.80635789938042
17,132.5,76.0,10.648535822683161,140.3,83.0,11.341543170604357,128.0,81.0,11.220024338452939
18,140.0,75.0,10.621443762075518,148.5,82.0,11.362917554962138,135.9,79.0,10.996213058174927
19,148.4,84.0,11.694310749194262,157.4,89.0,12.433043856321678,144.1,82.0,11.512437885533156
20,157.1,87.0,12.042985099334938,165.7,83.0,11.672622657126363,152.3,82.0,11.4769663834996
21,165.6,85.0,11.666818244518824,174.0,83.0,11.602765232888647,160.3,80.0,11.21365616132468
22,174.0,84.0,11.588916618358267,182.9,89.0,12.17225358022979,168.4,81.0,11.44533492053424
23,181.7,77.0,10.818745237984432,192.2,93.0,12.894116379488787,176.8,84.0,11.83218729592751
24,189.1,74.0,10.275671722654412,201.1,89.0,12.494870352274464,184.9,81.0,11.330868893584075
25,197.1,80.0,11.171604705369777,209.9,88.0,12.222849877075099,192.8,79.0,10.951837664040447
26,205.8,87.0,11.96152585824888,218.4,85.0,12.004844026595721,201.3,85.0,11.776066171283276
27,213.8,80.0,11.021174914231874,226.7,83.0,11.51848251725155,209.5,82.0,11.384256658933777
28,222.5,87.0,12.112123299819924,235.4,87.0,12.199313918069265,217.1,76.0,10.563596457693839
29,230.3,78.0,10.813575645533003,244.1,87.0,12.04169051183719,224.7,76.0,10.55672583011505
30,239.3,90.0,12.580748300514493,252.8,87.0,12.131634405791125,232.9,82.0,11.521891138905886
