timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean
1,1117.6,58.852027382833064,1685.0193950606795,1092.3,57.51974723538705,1646.1710494968893,1087.48,57.265929436545555,1638.652608953788
2,2483.42,71.92311743022645,2059.017180439365,2425.34,70.19694576092681,2009.6367901790313,2414.06,69.85676671932598,2000.0173355764389
3,3948.36,77.14270668773038,2208.4103380398055,3847.28,74.87835703001579,2145.8557493564986,3822.22,74.15271195365983,2123.1563280035903
4,5450.8,79.11743022643498,2264.849508528892,5307.56,76.89731437598738,2203.2493891263293,5265.08,75.97998946814113,2174.7442083082988
5,6973.54,80.18641390205374,2297.1597137735007,6789.24,78.0242232754081,2234.8424999181607,6726.26,76.94470774091627,2202.9751392783455
6,8506.28,80.71300684570826,2310.948780976128,8279.2,78.46024223275407,2247.7485470632514,8194.5,77.31648235913639,2213.9931350624192
7,10045.14,81.03528172722486,2322.4299330258705,9776.4,78.84149552395998,2258.344729092196,9671.34,77.76935229067932,2225.9062615523
8,11585.54,81.11637704054768,2322.9285587838826,11276.84,79.01211163770405,2263.2838923062573,11147.82,77.75039494470776,2226.063127966267
9,13121.3,80.87203791469196,2316.0332420047316,12777.98,79.04897314375988,2264.442854963055,12630.2,78.06108478146395,2235.690487507539
10,14661.28,81.09426013691416,2322.637142701362,14282.52,79.22801474460245,2269.6554870188284,14109.84,77.91679831490259,2231.017094300443
11,16203.62,81.21853607161664,2325.658016572924,15788.3,79.29331226961558,2271.133973498847,15585.92,77.72933122696156,2225.670289899466
12,17745.88,81.21432332806744,2326.8531730751074,17292.28,79.19852553975778,2267.979659406825,17069.52,78.12532912058978,2237.180223379088
13,19287.66,81.18904686677199,2326.3229809065624,18797.38,79.25750394944708,2269.1453202947346,18551.82,78.0568720379147,2235.6770291704693
14,20831.98,81.32280147446023,2328.931625097955,20300.68,79.16271721958927,2267.3731264952503,20038.8,78.30331753554502,2242.2154821678473
15,22378.88,81.45866245392311,2333.1492224381627,21810.46,79.5039494470774,2278.000797508599,21528.58,78.4507635597683,2246.6253688350193
16,23925.04,81.4196945760927,2332.0968543379013,23317.22,79.34491837809374,2272.6002415350904,23017.24,78.39178515007897,2245.589057708963
17,25471.72,81.44707740916273,2333.125506992833,24822.74,79.27962085308054,2271.5622714412048,24504.04,78.29383886255923,2242.515135558574
18,27016.52,81.34807793575568,2330.2389918418576,26330.24,79.38388625592414,2275.2203230611804,25994.0,78.46024223275408,2247.4809549631645
19,28562.16,81.39231174302266,2332.085549177012,27834.92,79.23538704581358,2270.4766341335726,27482.52,78.38441284886784,2244.6634466215073
20,30109.34,81.47340705634545,2335.007192236358,29340.84,79.30068457082677,2272.0549868368626,28966.32,78.13586097946286,2237.882406333487
21,31659.36,81.62295945234335,2338.816920215171,30845.84,79.25223802001054,2272.594470830879,30451.34,78.20010531858874,2239.3531733820428
22,33207.84,81.54186413902053,2335.736184350422,32353.04,79.36808846761456,2274.965417977317,31939.68,78.37493417588206,2245.1051301622433
23,34757.06,81.58083201685096,2336.5010242366534,33860.3,79.37124802527646,2273.706646794837,33428.5,78.40021063717745,2244.907509695154
24,36302.24,81.36808846761451,2330.1943333990944,35365.3,79.25223802001052,2270.1166051273835,34913.4,78.19378620326485,2239.9764963241637
25,37848.18,81.40810953133229,2332.4996104557167,36868.5,79.1574512901527,2267.8471124300368,36400.32,78.3001579778831,2243.6228775253326
26,39394.44,81.42496050552926,2332.8037125963874,38369.24,79.02790942601368,2263.6500567938388,37886.16,78.24328593996839,2241.4665279627097
27,40945.64,81.68509741969457,2338.9386093994863,39875.32,79.30911005792525,2271.710591872857,39374.52,78.37598736176936,2244.628950061905
28,42493.32,81.49973670352819,2333.413900166955,41381.14,79.29541864139017,2271.5461552931456,40855.74,78.0,2234.3849969029393
29,44037.54,81.31753554502369,2329.9353361834837,42889.06,79.40600315955766,2273.4387578390442,42343.98,78.36966824644551,2244.5284943154825
30,45580.92,81.2733017377567,2328.4663932887834,44392.3,79.15955766192734,2266.912658156139,43830.14,78.26013691416534,2241.5618827100147
