timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,graph_cumulative_active_nodes_mean,graph_percent_activated_mean,graph_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean
1,125.72,62.237623762376224,193.1439517653818,134.82,66.74257425742577,206.95839867370395,131.5,65.0990099009901,204.98814510044747,95.12,47.08910891089109,146.81936119785863
2,292.22,82.42574257425741,256.01933173622615,307.76,85.61386138613864,266.20309675148764,300.56,83.69306930693067,259.9612053528443,221.28,62.45544554455446,194.62539975455473
3,462.36,84.22772277227723,261.8122173995625,482.16,86.33663366336634,268.1678422393255,475.38,86.54455445544554,269.61797055150413,359.96,68.65346534653465,213.71601250325486
4,633.02,84.4851485148515,262.7613838530537,657.98,87.03960396039605,270.6594659365124,651.24,87.05940594059408,271.44467265494626,505.7,72.14851485148517,224.83608040312075
5,804.28,84.78217821782181,263.7962710443845,835.08,87.67326732673266,272.44466449206703,827.44,87.22772277227729,271.5437361813942,654.3,73.56435643564359,229.29584335175088
6,974.54,84.2871287128713,262.1124109898717,1012.26,87.71287128712873,272.52222486635685,1002.98,86.9009900990099,270.70054076122733,803.62,73.92079207920796,230.2980913759194
7,1144.24,84.009900990099,261.5181711979407,1188.96,87.47524752475249,271.94460262435365,1177.84,86.56435643564355,269.53099015950613,956.12,75.4950495049505,235.3386562088737
8,1314.02,84.04950495049505,261.17776001954167,1364.76,87.02970297029701,270.57520657650167,1352.38,86.40594059405939,269.0982632274852,1109.96,76.15841584158416,237.18402439640545
9,1485.32,84.8019801980198,263.90199866405425,1541.34,87.4158415841584,271.5349101415527,1527.48,86.68316831683171,269.77060425902675,1263.48,75.99999999999997,236.8151236382172
10,1655.46,84.22772277227722,261.62505495978223,1716.88,86.90099009900989,269.8781153516587,1703.42,87.09900990099011,271.11775270907407,1416.6,75.8019801980198,236.3404822406059
11,1825.44,84.14851485148516,261.2102292403178,1893.62,87.49504950495053,272.05940304498625,1879.42,87.12871287128712,271.2105345345978,1570.72,76.2970297029703,237.82260793181476
12,1996.04,84.45544554455444,262.0336341637964,2070.26,87.44554455445547,271.68186492562955,2054.5,86.67326732673267,269.6015454264717,1724.32,76.03960396039605,236.68070440221197
13,2166.92,84.59405940594061,262.74035359349944,2246.3,87.14851485148517,271.01539521817466,2229.98,86.87128712871286,270.29868052808905,1876.92,75.54455445544554,235.1868057025761
14,2338.5,84.94059405940592,264.00136866937,2423.8,87.87128712871288,272.73109056202736,2406.24,87.25742574257427,271.74729269186736,2029.8,75.68316831683171,235.94535817983876
15,2509.82,84.81188118811882,263.711401453943,2601.14,87.79207920792079,272.5399864697519,2583.02,87.51485148514854,272.47684607169884,2183.02,75.85148514851484,236.50267006890937
16,2680.4,84.44554455445547,262.60413866696183,2776.84,86.98019801980199,270.46963874177885,2758.78,87.00990099009903,271.22013074831517,2334.96,75.21782178217822,234.5339126612411
17,2851.7,84.80198019801979,263.7951818601336,2953.3,87.35643564356437,271.3775993328303,2935.06,87.26732673267327,271.8000106599768,2487.62,75.57425742574259,235.81492509419914
18,3021.84,84.22772277227722,261.6912832188938,3129.46,87.20792079207918,271.1868539782865,3111.46,87.32673267326734,272.1074523306557,2640.02,75.44554455445545,235.3658176360178
19,3191.86,84.16831683168316,261.4599710235441,3306.92,87.85148514851485,272.8357212896939,3287.46,87.12871287128709,271.3928839983966,2793.64,76.04950495049505,237.1182766057962
20,3363.24,84.84158415841583,263.79105747484493,3483.28,87.30693069306932,271.4817690160692,3462.68,86.74257425742574,270.3463669764134,2946.42,75.63366336633663,235.13796479972487
21,3535.08,85.06930693069309,264.54160517262477,3660.78,87.87128712871286,272.9533333051028,3639.14,87.35643564356438,272.01908775021997,3100.52,76.2871287128713,237.03039793277227
22,3706.08,84.65346534653465,262.8590842872953,3837.68,87.57425742574256,272.30867841888085,3815.76,87.43564356435645,272.2484810514012,3255.22,76.58415841584159,238.27035731217077
23,3876.02,84.12871287128715,261.7456067971384,4014.26,87.4158415841584,271.701116127551,3991.04,86.77227722772278,270.2181337381616,3407.1,75.18811881188118,234.43919402905402
24,4046.1,84.19801980198017,261.7159255423045,4191.28,87.63366336633663,272.2286025884824,4165.6,86.41584158415843,269.07770889321,3559.64,75.51485148514851,235.47589908547408
25,4216.94,84.5742574257426,262.7659855076362,4368.18,87.57425742574256,272.1627755888605,4340.9,86.78217821782177,270.35020791870994,3712.16,75.50495049504951,235.03553486624043
26,4386.76,84.06930693069307,261.0301567587905,4544.92,87.49504950495053,271.8246484252636,4516.88,87.11881188118814,271.1788273778166,3864.96,75.64356435643563,235.7025656754392
27,4556.92,84.23762376237624,262.179660733686,4721.88,87.60396039603962,272.28726040138224,4692.62,87.0,270.6253169811167,4017.7,75.61386138613861,235.30021641554384
28,4727.54,84.46534653465348,262.82120439810546,4899.66,88.00990099009901,273.55565960306217,4868.34,86.99009900990097,271.5117766011028,4170.36,75.57425742574256,235.26042962215732
29,4897.58,84.17821782178218,261.6892049323022,5077.02,87.8019801980198,273.13468662037235,5044.74,87.32673267326733,271.91429132019823,4322.84,75.4851485148515,235.58920807730607
30,5068.28,84.50495049504948,262.5666906826301,5253.34,87.28712871287132,271.22310668924115,5219.4,86.46534653465343,269.7400266752013,4475.44,75.54455445544554,235.8592993727587
