timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,graph_cumulative_active_nodes_mean,graph_percent_activated_mean,graph_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean
1,107.48,53.207920792079214,163.31377274617896,105.16,52.059405940594054,158.55487246171595,94.9,46.98019801980198,143.7482844167551
2,250.48,70.79207920792079,218.93446567617687,246.76,70.0990099009901,214.52920610676202,219.96,61.91089108910894,190.06249069162936
3,409.24,78.59405940594056,242.02245592498628,403.64,77.66336633663366,237.99290432519018,357.38,68.02970297029701,208.64384939142084
4,575.4,82.2574257425743,252.99258162055114,567.74,81.23762376237624,249.7834474278123,502.24,71.7128712871287,220.6773989553844
5,745.54,84.22772277227723,259.21804632153305,737.16,83.87128712871286,257.92666090521243,648.76,72.53465346534654,223.07582139343273
6,916.18,84.47524752475245,260.32558810929635,908.12,84.63366336633662,260.36610797860925,798.72,74.23762376237624,228.39170915379637
7,1086.16,84.14851485148515,258.40328360487996,1078.12,84.15841584158414,258.78388646046136,949.46,74.62376237623762,229.16723824220048
8,1256.74,84.44554455445547,260.23987216410217,1248.52,84.35643564356434,259.5121220819043,1100.14,74.59405940594057,229.16911863334238
9,1427.84,84.70297029702971,260.6624592995601,1419.6,84.69306930693072,260.2400187914589,1251.9,75.12871287128714,230.82087112162705
10,1598.26,84.36633663366337,259.2435572595204,1590.94,84.82178217821786,260.92713163254007,1403.18,74.89108910891089,230.68907497045748
11,1766.84,83.45544554455446,256.90414090642463,1763.86,85.60396039603957,263.34199873618246,1555.6,75.45544554455445,232.49972960834478
12,1937.12,84.2970297029703,259.4074441430879,1935.32,84.88118811881188,260.62857189272853,1708.28,75.58415841584159,232.94271225401863
13,2107.74,84.46534653465348,259.69435892619555,2106.0,84.49504950495049,259.5155389858375,1859.94,75.07920792079209,231.20471472937044
14,2278.06,84.31683168316833,259.24455523930936,2277.52,84.91089108910893,260.96513379195085,2011.48,75.01980198019803,231.27098052259305
15,2447.96,84.10891089108912,258.70946298840965,2448.4,84.59405940594058,259.77440943142676,2164.18,75.5940594059406,232.53301867152018
16,2617.76,84.05940594059402,258.88405130351555,2619.6,84.75247524752474,260.50724425311694,2316.2,75.25742574257426,231.00033012142725
17,2786.64,83.60396039603962,257.36074417897356,2790.44,84.57425742574259,260.1159429911718,2468.28,75.2871287128713,231.27029004903181
18,2955.32,83.50495049504953,256.97271071453287,2962.76,85.30693069306932,262.66168317357386,2619.3,74.76237623762377,230.21307094810658
19,3126.02,84.50495049504951,260.3645471603363,3135.4,85.46534653465345,263.0491426092313,2770.16,74.68316831683167,229.48686773238347
20,3295.4,83.85148514851485,258.1012047019324,3306.68,84.79207920792079,261.01019933382025,2921.26,74.80198019801982,230.22002312688025
21,3466.5,84.7029702970297,260.70707281059066,3477.74,84.68316831683168,260.1071909156313,3074.94,76.07920792079207,233.8866856851459
22,3636.34,84.07920792079209,258.38908816575906,3647.14,83.86138613861385,258.05876322369795,3228.0,75.77227722772278,233.2030475820845
23,3805.72,83.85148514851485,258.0152780222992,3817.86,84.51485148514853,260.0526287326232,3381.34,75.9108910891089,233.42168283763385
24,3975.96,84.27722772277231,259.4805248481726,3988.22,84.33663366336634,259.40006588817994,3534.86,76.00000000000003,233.44914735221235
25,4146.82,84.58415841584157,260.43264155756486,4161.06,85.56435643564362,263.1337490855418,3688.6,76.10891089108911,233.92522981613197
26,4317.48,84.48514851485147,260.1246721048919,4333.4,85.31683168316829,262.5759738810749,3842.56,76.21782178217825,234.2565903448418
27,4487.8,84.31683168316829,258.8988715219473,4505.06,84.98019801980197,261.2637400273447,3995.84,75.88118811881189,233.53662086604123
28,4658.04,84.27722772277228,259.2971183946463,4675.64,84.44554455445547,259.5882263681461,4150.0,76.31683168316832,235.16395046807156
29,4827.96,84.11881188118811,258.8415234578581,4846.8,84.73267326732673,260.53592409501795,4303.38,75.93069306930694,233.69211079069294
30,4998.86,84.6039603960396,260.51155326135455,5016.54,84.02970297029704,258.46287511365915,4455.9,75.50495049504951,232.35405724481777
