timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,13.58,6.79,102.37941192321827,40.14,20.07,348.08425491382764,40.78,20.39,346.7723829157764,5.94,2.97,23.130644801276343,69.22,34.61,225.4454014237867,13.6,6.8,97.82790772754426
2,40.92,13.67,203.63342946176547,136.0,47.93,469.9068909561179,137.74,48.48,472.21788136798483,15.72,4.89,37.24348576393373,182.22,56.5,390.0196992651061,41.62,14.01,198.73996887846675
3,81.14,20.11,292.5946785940814,268.6,66.3,540.4116308763795,288.0,75.13,578.7865474327176,29.94,7.11,52.1374650349586,323.8,70.79,485.7277858899067,83.9,21.14,300.12364296160746
4,134.4,26.63,376.83129241262924,427.44,79.42,593.1294527588867,469.78,90.89,638.9469012498172,48.38,9.22,66.89719314048283,482.32,79.26,543.7324175545467,138.08,27.09,377.94755561273166
5,199.62,32.61,398.78704030193444,607.82,90.19,638.1871692190929,661.94,96.08,652.8790102766445,70.98,11.3,83.36071185142008,655.16,86.42,594.9336232569799,203.6,32.76,403.1909414594378
6,275.68,38.03,420.29504962212906,798.18,95.18,651.3523284281559,856.72,97.39,662.9201388988929,98.42,13.72,101.36690621387172,834.5,89.67,613.5537624548303,280.42,38.41,427.78405170067197
7,363.02,43.67,442.523629447404,991.42,96.62,657.6926764264706,1051.94,97.61,666.7174434515817,128.12,14.85,106.36688469745398,1019.06,92.28,627.6129564387511,368.92,44.25,448.8211094665676
8,460.88,48.93,462.33801673082706,1186.36,97.47,662.1711351158233,1248.06,98.06,667.1020417925677,160.52,16.2,116.72013007381119,1206.18,93.56,635.0548301120132,469.16,50.12,475.1596976907682
9,568.04,53.58,477.3503284498687,1381.34,97.49,655.9439740824138,1443.16,97.55,665.8502131006682,195.94,17.71,126.9562232755385,1393.14,93.48,627.1272399979393,580.04,55.44,490.167184580638
10,686.32,59.14,506.45986494130636,1573.28,95.97,653.8727028946925,1638.68,97.76,664.5700202388206,235.04,19.55,142.22887072567121,1581.82,94.34,639.3601678006997,702.04,61.0,519.1782847845893
11,815.4,64.54,524.6326963502926,1767.62,97.17,659.4278149072508,1832.54,96.93,663.7778422927602,276.1,20.53,151.2824665029066,1771.16,94.67,640.4805535721962,833.94,65.95,535.2009457320482
12,953.5,69.05,538.6955018423128,1962.02,97.2,661.9980539771765,2027.3,97.38,663.4191802657343,319.64,21.77,160.02327524626796,1960.76,94.8,642.4394254229373,976.9,71.48,558.6403551749607
13,1101.02,73.76,560.0160327279613,2155.94,96.96,655.2071328410851,2222.54,97.62,662.6861888044068,365.96,23.16,170.3371856137288,2149.72,94.48,639.6326952900899,1128.74,75.92,572.6965713782353
14,1257.24,78.11,573.436577816877,2350.98,97.52,659.6218667014659,2417.16,97.31,663.5216582894594,413.7,23.87,173.7947866860567,2338.62,94.45,647.5546550365061,1290.2,80.73,591.1219118923772
15,1421.06,81.91,587.5990142858797,2545.38,97.2,662.2320976169758,2611.52,97.18,662.687120038089,467.04,26.67,189.60572067348375,2529.9,95.64,651.2966775362345,1459.42,84.61,607.2377475120264
16,1592.32,85.63,612.2566059194181,2739.9,97.26,658.663591711271,2806.94,97.71,664.8840649768986,522.02,27.49,196.4089156679003,2721.24,95.67,655.5842670212459,1635.24,87.91,622.2835913782794
17,1769.48,88.58,623.3820322797935,2935.36,97.73,663.1512257247973,3000.24,96.65,661.4869502762172,579.52,28.75,204.23051853342585,2912.28,95.52,655.0918130498042,1817.3,91.03,635.0638961398174
18,1951.46,90.99,628.7175315159749,3130.56,97.6,662.2239878028557,3194.46,97.11,661.2488443696941,639.66,30.07,212.00611536854282,3102.5,95.11,649.9733893034092,2003.1,92.9,640.7260940508136
19,2138.24,93.39,644.8466199964932,3325.22,97.33,658.9493695326913,3389.06,97.3,662.1802294287533,701.74,31.04,216.01665729154635,3292.9,95.2,650.2285391466717,2195.04,95.97,659.4923713260763
