timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean
1,103.8,51.386138613861384,159.32875878641767,97.8,48.41584158415842,148.60894554111545
2,236.2,65.54455445544555,204.9017291326026,229.2,65.04950495049505,203.04334811589328
3,379.2,70.79207920792079,219.14066797019737,369.8,69.60396039603961,218.08802920238736
4,530.6,74.95049504950495,231.3557621126898,517.2,72.97029702970298,226.9555348437716
5,683.4,75.64356435643563,235.01482382469095,666.6,73.96039603960396,230.2670760050402
6,837.2,76.13861386138613,237.40938791738327,815.6,73.76237623762377,230.03512459737885
7,985.6,73.46534653465346,228.3714474666862,962.4,72.67326732673266,227.0816416571056
8,1135.4,74.15841584158417,230.01325960819113,1117.2,76.63366336633665,237.84978549065386
9,1290.0,76.53465346534654,237.7639900389495,1269.2,75.24752475247524,233.06556296840319
10,1446.0,77.22772277227723,240.47988138405248,1425.8,77.52475247524754,240.17857799479367
