timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean
1,98.26666666666667,48.64686468646865,144.025791846067,95.63333333333334,47.34323432343236,141.7243059037053
2,230.06666666666666,65.24752475247524,193.52051107564887,222.43333333333334,62.772277227722775,188.0699130526658
3,379.6,74.02640264026404,220.82711798240175,366.06666666666666,71.10561056105611,212.29826241997623
4,535.9666666666667,77.40924092409242,230.0769312385112,518.0,75.2145214521452,223.71107852876796
5,695.9333333333333,79.1914191419142,234.88705515463184,674.9333333333333,77.68976897689768,231.15340380641317
6,857.3666666666667,79.91749174917491,237.6023757915383,835.2666666666667,79.37293729372938,236.43207956880653
7,1020.6,80.80858085808582,240.3696036686476,997.4,80.26402640264027,238.03048800392727
8,1183.1666666666667,80.47854785478549,239.95150707766808,1161.1666666666667,81.07260726072606,240.81962205275963
9,1348.3,81.74917491749174,243.30936466890404,1325.4666666666667,81.33663366336636,242.32804208919714
10,1512.5666666666666,81.32013201320133,242.24704360656247,1489.4333333333334,81.17161716171616,242.0836928438217
11,1676.9333333333334,81.36963696369637,242.35020470874062,1652.3666666666666,80.66006600660066,240.4219952392408
12,1840.5333333333333,80.990099009901,241.08820740904713,1815.4666666666667,80.74257425742574,240.3214958530076
13,2001.8,79.83498349834983,237.70662686314742,1977.6333333333334,80.28052805280528,238.99971062114318
14,2165.8333333333335,81.20462046204622,241.49874099530552,2141.6,81.17161716171617,241.2916115712653
15,2329.266666666667,80.90759075907592,241.01319096887863,2304.9333333333334,80.8580858085809,240.91361451927276
16,2492.4666666666667,80.7920792079208,240.41169897618775,2468.133333333333,80.79207920792078,240.65955953247015
17,2654.4,80.16501650165017,238.27342805880565,2632.1,81.17161716171617,241.46436229893496
18,2816.9,80.44554455445545,239.0972142881437,2794.5333333333333,80.41254125412543,239.2882154441425
19,2980.0666666666666,80.77557755775577,240.38256779021964,2958.6,81.22112211221123,241.9053530623878
20,3142.9333333333334,80.62706270627064,239.8451213639051,3121.233333333333,80.51155115511551,239.9546181755995
21,3306.0333333333333,80.74257425742574,240.37047209106532,3282.9333333333334,80.04950495049505,237.88914781764151
22,3468.5666666666666,80.46204620462046,239.7638733589006,3445.1666666666665,80.3135313531353,238.77669368944512
23,3633.266666666667,81.53465346534654,242.82928284428107,3606.5666666666666,79.9009900990099,238.55431967762178
24,3797.133333333333,81.12211221122111,241.31962670547347,3769.4333333333334,80.62706270627064,240.3058289916333
25,3963.9666666666667,82.59075907590758,246.09769110959743,3931.733333333333,80.34653465346533,239.5058942875961
26,4128.033333333334,81.22112211221119,241.60535626889998,4095.0,80.82508250825082,240.23692994215745
27,4291.833333333333,81.0891089108911,241.26269030437496,4257.666666666667,80.52805280528052,239.99168254478576
28,4456.166666666667,81.35313531353135,242.08228130556418,4419.5,80.11551155115511,238.03579662832
29,4621.2,81.69966996699671,243.1289237982824,4581.3,80.09900990099011,238.60642271400292
30,4785.866666666667,81.51815181518153,243.0484352211362,4743.9,80.49504950495047,239.7813736743429
