timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean
1,98.7,48.861386138613845,148.61555947472385,99.25,49.13366336633663,149.963078316838
2,229.4,64.7029702970297,197.85042417655205,231.45,65.44554455445544,200.31353472216273
3,376.05,72.5990099009901,222.06186833013697,379.2,73.14356435643563,223.43827402347748
4,527.6,75.02475247524751,229.29572669368653,529.95,74.62871287128712,227.7311107933664
5,683.1,76.98019801980197,235.34599456298253,684.8,76.65841584158414,233.76142935135454
6,840.65,77.99504950495052,238.86905573948056,839.75,76.70792079207922,233.55323438633917
7,998.2,77.9950495049505,238.36307699910444,994.65,76.68316831683168,234.63783337996057
8,1155.75,77.9950495049505,238.91128193155447,1152.3,78.04455445544555,239.26436956707138
9,1314.1,78.3910891089109,240.37284207115573,1309.6,77.8712871287129,238.4609646322609
10,1473.5,78.91089108910892,242.06625164376973,1467.5,78.16831683168317,238.8928747313161
11,1630.65,77.7970297029703,238.43138291811573,1624.75,77.84653465346535,237.54315992041748
12,1788.95,78.36633663366335,239.95924308212406,1780.8,77.25247524752476,235.98218808974997
13,1947.8,78.63861386138612,241.12005783814362,1937.95,77.79702970297029,237.75810694269586
14,2106.95,78.7871287128713,241.39413907149583,2095.65,78.06930693069306,237.98256065914538
15,2265.8,78.63861386138616,239.90175501770972,2254.4,78.58910891089107,239.80325718732684
16,2425.7,79.15841584158419,241.9449868839128,2412.8,78.41584158415841,238.94931558058926
17,2584.4,78.56435643564357,240.14969208415113,2571.2,78.41584158415841,239.29591547406153
18,2743.1,78.56435643564356,240.8008359559705,2729.45,78.34158415841586,240.1847867999367
19,2901.95,78.63861386138612,240.30082271771494,2886.45,77.72277227722772,237.39120366512452
20,3063.0,79.72772277227725,244.35876608322823,3048.75,80.34653465346537,245.30280802731608
