timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean
1,101.2,50.0990099009901,151.9826081260691,104.8,51.881188118811885,158.13270744193372
2,229.2,63.366336633663366,195.38977201830562,239.4,66.63366336633663,202.33142601118644
3,371.6,70.4950495049505,217.31459297669176,380.6,69.9009900990099,213.1326518318161
4,526.0,76.43564356435644,234.61999951908575,531.8,74.85148514851485,228.29879667097597
5,678.6,75.54455445544554,232.307119677187,687.4,77.02970297029702,235.7568202583228
6,840.2,80.0,244.6966296311005,842.0,76.53465346534654,234.5059474099291
7,1000.4,79.3069306930693,243.38209859259186,996.2,76.33663366336634,234.19658599184336
8,1162.2,80.0990099009901,245.05436430063492,1148.6,75.44554455445545,231.35377605613272
9,1323.6,79.90099009900992,245.19371291990396,1298.8,74.35643564356435,227.49535742976394
10,1484.6,79.70297029702971,243.03469167054504,1451.0,75.34653465346534,230.57444706953348
